Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3320.00000,2261.00000,1059.00000,-6.00000,6.00000,1053.00000,-13.00000,1040.00000,220.00000,820.00000,820.00000,820.00000,1092.00000,1053.00000,156.20000,157.70000,5.25000,5.20000,0.05950,0.06330,31.71690,31.71690,31.32530,24.69880,0.08970,5.94030,5.94030,2.21570,5.58660,88.31730,5.7743,5.7364
2024-06-30,2544.00000,2135.00000,409.00000,-9.00000,9.00000,400.00000,-14.00000,386.00000,74.00000,312.00000,312.00000,312.00000,442.00000,400.00000,156.30000,157.50000,1.99000,1.98000,0.06400,0.06840,15.72330,15.72330,15.17300,12.26420,0.07310,2.44190,2.44190,0.89650,2.28550,81.79900,4.7168,4.6849
2024-03-31,2935.00000,1965.00000,970.00000,-4.00000,4.00000,966.00000,-13.00000,953.00000,198.00000,755.00000,755.00000,755.00000,1000.00000,966.00000,156.80000,157.90000,4.82000,4.78000,0.06450,0.06900,32.91310,32.91310,32.47020,25.72400,0.08700,5.96650,5.96650,2.23860,5.58140,80.85620,2.23560,2.19130
2023-12-31,3356.00000,1844.00000,1512.00000,-8.00000,8.00000,1504.00000,-14.00000,1490.00000,307.00000,1183.00000,1183.00000,1183.00000,1528.00000,1504.00000,157.00000,158.10000,7.54000,7.49000,0.06740,0.07220,44.81530,44.81530,44.39810,35.25030,0.10240,9.77850,9.77850,3.61010,9.11960,77.05730,3.5782,3.5281
2023-09-30,1811.00000,1941.00000,-130.00000,-5.00000,5.00000,-135.00000,-13.00000,-148.00000,-49.00000,-99.00000,-99.00000,-99.00000,-121.00000,-135.00000,156.90000,156.90000,-0.63000,-0.63000,0.07560,0.08180,-7.45440,-7.45440,-8.17230,-5.46660,0.05860,-0.93190,-0.93190,-0.32020,-0.86140,67.71190,4.1794,4.1663
2023-06-30,2605.00000,1919.00000,686.00000,-7.00000,7.00000,679.00000,-13.00000,666.00000,132.00000,534.00000,534.00000,534.00000,713.00000,679.00000,157.00000,158.00000,3.40000,3.38000,0.07290,0.07860,26.06530,26.06530,25.56620,20.49900,0.08310,4.84130,4.84130,1.70320,4.48850,70.34440,3.6442,3.6188
2023-03-31,2241.00000,1954.00000,287.00000,-5.00000,5.00000,282.00000,-14.00000,268.00000,43.00000,225.00000,225.00000,225.00000,322.00000,282.00000,157.20000,158.50000,1.43000,1.42000,0.07690,0.08330,12.58370,12.58370,11.95900,10.04020,0.07350,2.09480,2.09480,0.73830,1.93370,68.32700,1.57730,1.55210
2022-12-31,3115.00000,1805.00000,1310.00000,-10.00000,10.00000,1300.00000,-13.00000,1287.00000,274.00000,1013.00000,1013.00000,1013.00000,1325.00000,1300.00000,158.80000,158.80000,6.35000,6.35000,0.07780,0.08440,41.73360,41.73360,41.31620,32.52010,0.10480,9.59100,9.59100,3.40710,8.84480,67.23110,3.9282,3.9098
2022-09-30,1410.00000,1969.00000,-559.00000,-4.00000,4.00000,-563.00000,-14.00000,-577.00000,-161.00000,-416.00000,-416.00000,-416.00000,-539.00000,-563.00000,158.00000,158.00000,-2.63000,-2.63000,0.08600,0.09410,-39.92910,-39.92910,-40.92200,-29.50360,0.05000,-4.41100,-4.41100,-1.47520,-4.03180,60.03180,4.2631,4.2372
2022-06-30,820.00000,1855.00000,-1035.00000,-5.00000,5.00000,-1040.00000,-13.00000,-1053.00000,-235.00000,-818.00000,-818.00000,-818.00000,-999.00000,-1040.00000,159.60000,159.60000,-5.12000,-5.12000,0.07740,0.08390,-126.82930,-126.82930,-128.41460,-99.75610,0.02810,-7.75140,-7.75140,-2.80210,-7.15160,66.28770,3.4962,3.471
2022-03-31,1218.00000,1552.00000,-334.00000,-4.00000,4.00000,-338.00000,-13.00000,-351.00000,-85.00000,-266.00000,-266.00000,-266.00000,-301.00000,-338.00000,160.40000,160.40000,-1.66000,-1.66000,0.06860,0.07360,-27.75040,-27.75040,-28.81770,-21.83910,0.04030,-2.19980,-2.19980,-0.87930,-2.04900,75.43360,1.23440,1.20950
2021-12-31,3319.00000,1425.00000,1894.00000,-6.00000,6.00000,1888.00000,-14.00000,1874.00000,382.00000,1492.00000,1492.00000,1492.00000,1937.00000,1888.00000,161.00000,162.70000,9.27000,9.17000,0.06410,0.06840,56.88460,56.88460,56.46280,44.95330,0.10570,11.38500,11.38500,4.75360,10.65560,81.75300,2.8572,2.8387
2021-09-30,1785.00000,1583.00000,202.00000,-5.00000,5.00000,197.00000,-13.00000,184.00000,31.00000,153.00000,153.00000,153.00000,220.00000,197.00000,161.10000,162.90000,0.95000,0.94000,0.07090,0.07630,11.03640,11.03640,10.30810,8.57140,0.05970,1.29210,1.29210,0.51160,1.20050,73.50090,3.6894,3.6709
2021-06-30,2295.00000,1405.00000,890.00000,-5.00000,5.00000,885.00000,-13.00000,872.00000,169.00000,703.00000,703.00000,703.00000,908.00000,885.00000,161.10000,162.90000,4.36000,4.31000,0.07110,0.07650,38.56210,38.56210,37.99560,30.63180,0.07730,5.92850,5.92850,2.36880,5.50720,73.60650,3.4507,3.4263
2021-03-31,2227.00000,1442.00000,785.00000,-4.00000,4.00000,781.00000,-13.00000,768.00000,148.00000,620.00000,620.00000,620.00000,804.00000,781.00000,161.00000,162.50000,3.85000,3.82000,0.07510,0.08130,35.06960,35.06960,34.48590,27.84010,0.07870,5.56650,5.56650,2.18980,5.14820,69.18010,2.17850,2.14770
2020-12-31,2694.00000,1359.00000,1335.00000,-5.00000,5.00000,1330.00000,-14.00000,1316.00000,267.00000,1049.00000,1049.00000,1049.00000,1377.00000,1330.00000,161.20000,162.40000,6.45000,6.43000,0.07690,0.08330,49.36900,49.36900,48.84930,38.93840,0.09780,9.72290,9.72290,3.80870,8.97500,67.05410,2.2736,2.2493
2020-09-30,2227.00000,1595.00000,632.00000,-5.00000,5.00000,627.00000,-13.00000,614.00000,130.00000,484.00000,484.00000,484.00000,647.00000,627.00000,160.90000,162.00000,3.01000,2.99000,0.09030,0.09920,28.15450,28.15450,27.57070,21.73330,0.08450,4.96670,4.96670,1.83540,4.51830,60.60320,3.1055,3.0687
2020-06-30,2714.00000,1550.00000,1164.00000,-5.00000,5.00000,1159.00000,-14.00000,1145.00000,236.00000,909.00000,909.00000,909.00000,1179.00000,1159.00000,160.80000,161.50000,5.65000,5.63000,0.09460,0.10450,42.70450,42.70450,42.18870,33.49300,0.10660,9.81850,9.81850,3.57170,8.89000,57.57460,2.7723,2.735
2020-03-31,-99.00000,1459.00000,-1558.00000,-5.00000,5.00000,-1563.00000,-13.00000,-1576.00000,-350.00000,-1226.00000,-1226.00000,-1226.00000,-1541.00000,-1563.00000,162.20000,162.20000,-7.56000,-7.56000,0.10660,0.11940,1578.78800,1578.78800,1591.91900,1238.38400,-0.00420,-15.24500,-15.24500,-5.24670,-13.61920,50.01240,1.02960,1.00490
2019-12-31,2152.00000,1352.00000,800.00000,-6.00000,6.00000,794.00000,-13.00000,781.00000,155.00000,626.00000,626.00000,626.00000,812.00000,794.00000,163.20000,165.10000,3.84000,3.80000,0.08230,0.08970,36.89590,36.89590,36.29180,29.08920,0.08470,6.34630,6.34630,2.46380,5.82380,60.55250,2.0028,1.9902
