Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-04-30,3388.00000,1991.00000,1397.00000,-1192.00000,1192.00000,205.00000,3.00000,208.00000,50.00000,158.00000,158.00000,158.00000,329.00000,205.00000,374.00000,383.00000,0.42000,0.41000,1.49570,0.35490,0.55010,41.23380,6.05080,6.05080,6.13930,4.66350,0.31060,1.02000,5.83670,5.83670,1.44850,3.76550,7.21870,0.07830,-0.16450
2024-01-31,4298.00000,2626.00000,1672.00000,-1458.00000,1458.00000,214.00000,4.00000,218.00000,33.00000,185.00000,185.00000,185.00000,343.00000,214.00000,370.00000,376.00000,0.50000,0.49000,1.41960,0.36440,0.57340,38.90180,4.97910,4.97910,5.07210,4.30430,0.38920,1.31630,7.12910,7.12910,1.67510,4.53100,6.97580,1.8558,1.5063
2023-10-31,3767.00000,2211.00000,1556.00000,-1306.00000,1306.00000,250.00000,,250.00000,32.00000,218.00000,218.00000,218.00000,378.00000,250.00000,371.00000,375.00000,0.59000,0.58000,1.39340,0.37690,0.60490,41.30610,6.63660,6.63660,6.63660,5.78710,0.34080,0.93020,8.86180,8.86180,1.97250,5.52180,6.63070,0.7955,0.5617
2023-07-31,3548.00000,2215.00000,1333.00000,-1227.00000,1227.00000,106.00000,2.00000,108.00000,-9.00000,117.00000,117.00000,117.00000,238.00000,106.00000,369.00000,371.00000,0.32000,0.32000,1.40970,0.41970,0.72340,37.57050,2.98760,2.98760,3.04400,3.29760,0.32700,0.99510,5.17010,5.17010,1.07830,3.00000,6.13280,1.3823,1.1624
2023-04-30,3276.00000,2062.00000,1214.00000,-1224.00000,1224.00000,-10.00000,-10.00000,-20.00000,-2.00000,-18.00000,-18.00000,-18.00000,127.00000,-10.00000,367.00000,367.00000,-0.05000,-0.05000,1.46780,0.45670,0.84070,37.05740,-0.30530,-0.30530,-0.61050,-0.54950,0.29970,0.89690,-0.82380,-0.82380,-0.16470,-0.44750,5.93750,0.04090,-0.07080
2023-01-31,4243.00000,2819.00000,1424.00000,-1454.00000,1454.00000,-30.00000,-13.00000,-43.00000,230.00000,-273.00000,-273.00000,-273.00000,109.00000,-30.00000,367.00000,367.00000,-0.75000,-0.75000,1.41800,0.45120,0.82220,33.56120,-0.70700,-0.70700,-1.01340,-6.43410,0.37270,1.18000,-12.22570,-12.22570,-2.39770,-6.70930,6.10110,1.96,1.6665
2022-10-31,4039.00000,2530.00000,1509.00000,-1323.00000,1323.00000,186.00000,-18.00000,168.00000,-114.00000,282.00000,282.00000,282.00000,327.00000,186.00000,365.00000,366.00000,0.77000,0.77000,1.49010,0.41660,0.71410,37.36070,4.60510,4.60510,4.15940,6.98190,0.33660,0.83140,10.96850,10.96850,2.35000,6.39890,7.04380,0.258,0.1318
2022-07-31,3857.00000,2527.00000,1330.00000,-1358.00000,1358.00000,-28.00000,-20.00000,-48.00000,1.00000,-49.00000,-49.00000,-49.00000,106.00000,-28.00000,367.00000,367.00000,-0.13000,-0.13000,1.36940,0.44320,0.79610,34.48280,-0.72600,-0.72600,-1.24450,-1.27040,0.31690,0.80610,-2.12580,-2.12580,-0.40260,-1.18360,6.33240,0.4144,-0.0683
2022-04-30,3477.00000,2381.00000,1096.00000,-1293.00000,1293.00000,-197.00000,-19.00000,-216.00000,-54.00000,-162.00000,-162.00000,-162.00000,-65.00000,-197.00000,370.00000,370.00000,-0.44000,-0.44000,1.44150,0.42780,0.74780,31.52140,-5.66580,-5.66580,-6.21230,-4.65920,0.28370,0.75130,-6.60150,-6.60150,-1.32170,-3.77710,6.65040,-0.97840,-0.69460
2022-01-31,4525.00000,3002.00000,1523.00000,-1515.00000,1515.00000,8.00000,-16.00000,-8.00000,8.00000,-16.00000,-16.00000,-16.00000,143.00000,8.00000,376.00000,383.00000,-0.04000,-0.03000,1.26690,0.35280,0.54520,33.65750,0.17680,0.17680,-0.17680,-0.35360,0.35460,0.99470,-0.58780,-0.58780,-0.12540,-0.38040,7.33690,0.2985,-0.221
2021-10-31,3943.00000,2282.00000,1661.00000,-1508.00000,1508.00000,153.00000,-368.00000,-215.00000,-63.00000,-152.00000,-152.00000,-152.00000,284.00000,153.00000,376.00000,376.00000,-0.40000,-0.40000,1.36200,0.34750,0.53250,42.12530,3.88030,3.88030,-5.45270,-3.85490,0.30850,0.83870,-5.45390,-5.45390,-1.18940,-3.55890,7.45190,-0.238,-0.8336
