Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,2.00600,2.00600,14.58500,6.81000,-19.38900,1.88400,-17.50500,-0.25300,-17.25200,-17.25200,-17.25200,-19.01500,-19.38900,69.05000,69.05000,-0.25000,-0.25000,11.62980,0.15520,0.18370,100.00000,-966.55040,-966.55040,-872.63200,-860.02000,0.00790,48.92680,1.83950,-9.15370,-9.15370,-6.80880,-7.73280,2.72540,-0.2455,-0.2513
2023-06-30,0.03400,0.03400,18.99400,7.75300,-26.71300,1.29300,-25.42000,-0.24500,-25.17500,-25.17500,-25.17500,-26.37600,-26.71300,66.27700,66.27700,-0.38000,-0.38000,12.15980,0.14530,0.16990,100.00000,-78567.64000,-78567.64000,-74764.70000,-74044.11000,0.00010,0.54840,164.11760,-12.40390,-12.40390,-9.38360,-10.60210,2.94190,-0.2063,-0.2127
2023-03-31,0.02800,0.02800,15.87700,9.00600,-24.85500,0.55300,-24.30200,-0.01100,-24.29100,-24.29100,-24.29100,-24.58200,-24.85500,53.77600,53.77600,-0.45000,-0.45000,12.73440,0.14610,0.17110,100.00000,-88767.85000,-88767.85000,-86792.85000,-86753.57000,0.00010,0.31460,286.07140,-12.09510,-12.09510,-9.11310,-10.32810,3.17760,-0.47300,-0.49570
2022-12-31,0.14000,0.14000,17.60700,6.95000,-24.41700,-0.54000,-24.95700,-0.34000,-24.61700,-24.61700,-24.61700,-24.16900,-24.41700,43.74900,43.74900,-0.55000,-0.55000,11.88010,0.17430,0.21100,100.00000,-17440.72000,-17440.72000,-17826.43000,-17583.57000,0.00060,2.29510,39.21430,-15.17500,-15.17500,-11.23740,-12.53070,3.62050,-0.4408,-0.4625
2022-09-30,0.16600,0.16600,16.55100,7.42000,-23.80500,-0.96900,-24.77400,-0.76100,-24.01300,-24.01300,-24.01300,-23.56300,-23.80500,43.68400,43.68400,-0.55000,-0.55000,16.09350,0.15700,0.18620,100.00000,-14340.36000,-14340.36000,-14924.10000,-14465.66000,0.00070,0.77210,116.56630,-13.11170,-13.11170,-10.06860,-11.05330,4.09150,-0.4894,-0.4943
2022-06-30,0.57000,0.57000,12.07600,7.78100,-19.28700,-0.46700,-19.75400,-0.68100,-19.07300,-19.07300,-19.07300,-19.07100,-19.28700,43.35700,43.35700,-0.44000,-0.44000,17.88830,0.04620,0.04840,100.00000,-3383.68500,-3383.68500,-3465.61400,-3346.14000,0.00250,3.22030,27.94740,-9.58890,-9.58890,-8.36040,-9.14610,4.58470,-0.3979,-0.4065
2022-03-31,0.58500,0.58500,12.66100,8.44900,-20.52500,0.56100,-19.96400,-0.05500,-19.90900,-19.90900,-19.90900,-20.32200,-20.52500,43.17000,43.17000,-0.46000,-0.46000,16.80980,,,100.00000,-3508.54700,-3508.54700,-3412.65000,-3403.24800,0.00250,1.80000,50.00000,-9.24170,-9.24170,-8.43740,-9.24170,4.97160,-0.34680,-0.36060
2021-12-31,0.59400,0.59400,11.81100,6.33600,-17.55300,0.14400,-17.40900,-0.17300,-17.23600,-17.23600,-17.23600,-17.36900,-17.55300,42.59900,42.59900,-0.40000,-0.40000,16.92610,,,100.00000,-2955.05100,-2955.05100,-2930.80800,-2901.68300,0.00240,1.66390,54.09090,-7.44680,-7.44680,-6.83230,-7.44680,5.37350,-0.397,-0.4099
2021-09-30,0.32500,0.32500,12.68400,7.15600,-19.51500,0.13400,-19.38100,0.04800,-19.42900,-19.42900,-19.42900,-19.33000,-19.51500,43.02300,43.02300,-0.45000,-0.45000,14.96790,,,100.00000,-6004.61500,-6004.61500,-5963.38500,-5978.15400,0.00120,1.08330,83.07690,-7.88210,-7.88210,-7.24140,-7.88210,5.72370,-0.4892,-0.4926
2021-06-30,0.52100,0.52100,21.14600,6.64200,-27.26700,0.42800,-26.83900,0.01400,-26.85300,-26.85300,-26.85300,-27.11300,-27.26700,42.50130,42.50130,-0.63000,-0.63000,19.77110,,,100.00000,-5233.58900,-5233.58900,-5151.43900,-5154.12600,0.00180,4.30580,20.90210,-10.18890,-10.18890,-9.51710,-10.18890,6.18360,-0.3989,-0.4036
