Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,55.30100,17.18500,38.11600,45.35100,46.03800,-7.92200,-14.60500,-22.52700,-6.06300,-16.46400,-16.46400,-16.46400,27.70580,27.70580,-0.59000,-0.59000,0.13880,-148.66360,-108.65180,0.00350,-3.30560,-4.54160,-0.37740,-3.30560,15.49570,0.5175,0.5148
2024-06-30,33.01800,10.84200,22.17600,21.34200,21.40700,0.76900,-0.49100,0.27800,0.08800,0.19000,0.19000,0.19000,18.53750,18.79950,0.01000,0.01000,0.14640,1.44170,0.98530,0.00840,0.06480,0.07470,0.00830,0.06480,15.80950,0.0165,0.0091
2024-03-31,32.67700,10.77000,21.90700,14.03600,14.10100,7.80600,-0.54900,7.25700,2.32200,4.93500,4.93500,4.93500,18.42690,18.80170,0.27000,0.26000,0.15350,32.63330,22.19170,0.00970,1.68720,1.94620,0.21550,1.68720,15.78770,0.42830,0.42360
2023-12-31,32.46700,10.01000,22.45700,16.08300,16.16300,6.29400,,6.29400,1.88200,4.41200,4.41200,4.41200,18.24620,18.65670,0.23000,0.24000,0.35700,29.09450,20.39480,0.00920,1.53110,1.77080,0.18690,1.53110,15.68690,-0.4503,-0.4537
2023-09-30,32.29900,8.22300,24.07600,14.55700,14.68500,9.39100,,9.39100,2.83500,6.55600,6.55600,6.55600,18.30400,18.67210,0.36000,0.35000,0.09280,38.85070,27.12230,0.01040,2.35360,2.73770,0.28340,2.35360,15.21380,0.5886,0.591
2023-06-30,31.35600,6.83400,24.52200,14.50200,14.59200,9.93000,,9.93000,3.21200,6.71800,6.71800,6.71800,18.28760,18.59620,0.37000,0.36000,0.11990,40.46950,27.37910,0.01060,2.45410,2.86430,0.29090,2.45410,14.96220,0.6547,0.6438
2023-03-31,30.77900,4.31700,26.46200,15.13000,15.22100,11.24100,,11.24100,3.01700,8.22400,8.22400,8.22400,18.05530,18.62080,0.46000,0.44000,0.06650,42.80660,31.31760,0.01150,3.07390,3.60320,0.35880,3.07390,14.64280,0.98130,0.97700
2022-12-31,28.32300,2.87400,25.44900,15.93800,16.07800,9.37100,0.00800,11.59500,3.12100,8.47400,8.47400,8.47400,17.82150,18.22830,0.47000,0.46000,0.26030,44.99070,32.88070,0.01130,3.25480,3.83490,0.37100,3.25480,14.51250,0.5016,0.489
2022-09-30,25.72100,1.57700,24.14400,14.49300,14.59300,9.55100,-0.11700,9.43400,2.50500,6.92900,6.92900,6.92900,17.85760,18.27780,0.39000,0.38000,,41.77290,30.68100,,,,,,,-0.022,0.1893
2022-06-30,23.11000,0.64800,22.46200,22.86100,22.96000,-0.49800,-0.54400,-1.04200,-0.30600,-0.73600,-0.73600,-0.73600,17.80870,18.20190,-0.04000,-0.04000,,-5.04210,-3.56140,,,,,,,0.44,0.4133
2022-03-31,20.08800,0.69000,19.39800,16.77900,16.87800,2.52000,-0.52400,1.99600,0.55000,1.44600,1.44600,1.44600,17.72280,18.11410,0.08000,0.08000,,11.37450,8.24030,,,,,,,-0.18710,-0.20390
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,0,0
