Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,
2021-12-31,14.63190,13.66630,0.96570,60.27540,-4.31880,64.59420,-63.62850,-101.34070,-102.73870,-102.73870,-95.50330,-63.62850,-63.62850,0.35990,0.35990,-261.07750,-261.07750,0.44380,-434.86060,-434.86060,-692.59940,-652.70460,0.04870,-215.59760,-215.59760,-34.22480,-215.59750,130.85510,-26.4319,-31.7527
2021-09-30,26.16060,25.23350,0.92710,42.68570,-6.23250,48.91820,-47.99110,-47.99110,-47.99110,-47.99110,-52.05750,-47.99110,-47.99110,0.36250,0.36250,-143.51850,-143.51850,0.24450,-183.44770,-183.44770,-183.44770,-198.99180,0.06060,,-34.47180,-11.11120,-34.47180,,0,0
2021-06-30,62.18060,52.50150,9.67910,21.78110,-9.98780,31.76890,-22.08980,-21.53470,-21.53470,-21.53470,-20.51930,-22.08980,-22.08980,0.35860,0.35860,-57.10100,-57.10100,0.23390,-35.52530,-35.52530,-34.63250,-32.99950,0.11860,,-11.18730,-4.10740,-11.18730,,0,0
2021-03-31,44.90690,39.76570,5.14110,15.90190,-5.74980,21.65170,-16.51060,-16.51060,-16.51060,-16.51060,-15.69990,-16.51060,-16.51060,0.35520,0.35520,-44.04720,-44.04720,0.27210,-36.76620,-36.76620,-36.76620,-34.96100,0.07980,,-7.77570,-2.93540,-7.77570,,0.00000,
2020-12-31,114.15430,102.58410,11.57020,11.65370,-13.23120,24.88490,-13.31460,-13.32230,-15.57030,-15.57030,-15.40330,-13.31460,-13.31470,0.35470,0.35470,-59.40580,-58.75620,0.30250,-11.66370,-11.66370,-11.67050,-13.49340,0.18400,-6.93020,-7.11760,-2.50980,-6.93020,632.47660,-140.4079,-144.8141
2020-09-30,118.44060,90.63530,27.80530,15.00920,-9.40350,24.41270,3.39260,3.16750,3.16750,3.16750,3.16750,3.39260,3.39260,0.34800,0.37480,9.10110,8.45150,0.29250,2.86440,2.86440,2.67430,2.67430,0.19430,,1.43050,0.51970,1.43050,,0,0
2020-06-30,104.08810,87.02160,17.06650,11.76940,-9.94680,21.71630,-4.64980,-1.97360,-1.97360,-1.97360,-1.97360,-4.64980,-4.64980,0.34570,0.34570,-5.70930,-5.70930,0.24120,-4.46720,-4.46720,-1.89610,-1.89610,0.18260,,-0.93200,-0.34620,-0.93200,,0,0
2020-03-31,38.99310,31.91510,7.07800,13.53470,-13.61050,27.14510,-20.06720,-19.55260,-19.55260,-19.55260,-19.55260,-20.06720,-20.06720,0.35320,0.35320,-56.37360,-56.37360,0.32750,-51.46340,-51.46340,-50.14370,-50.14370,0.06520,,-9.15780,-3.26840,-9.15780,,0.00000,
2019-09-30,135.17950,106.82370,28.35590,6.93240,-10.46670,17.39900,10.95680,11.45190,11.45190,11.45190,11.21730,10.95680,10.95680,0.17500,0.35000,64.10590,32.05290,-0.20140,8.10540,8.10540,8.47160,8.29810,0.26680,,-4.18950,2.26040,-4.18950,,0,0
2019-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
