Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin
2023-12-31,,,,,,,,,,,,,0.00000,,,,,
2023-06-30,,,,,,,,,,,,,0.00000,,,,,
2022-12-31,,,,,,,,,,,,,0.00000,,,,,
2022-06-30,,,,,,,,,,,,,0.00000,,,,,
2021-12-31,,,,,,,,,,,,,0.00000,,,,,
2021-06-30,,,,,,,,,,,,,0.00000,,,,,
2020-12-31,,,,,,,,,,,,,0.00000,,,,,
2019-12-31,,,,,,,,,,,,,0.00000,,,,,
2018-12-31,,,,,,,,,,,,,0.00000,,,,,
2017-12-31,,,,,,,,,,,,,0.00000,,,,,
2016-12-31,,,,,,,,,,,,,0.00000,,,,,
2016-03-31,18.30200,18.30200,18.30200,18.30200,18.30200,-0.61600,-0.61600,18.30200,18.30200,7.74020,7.74020,-0.08000,-0.08000,100.00000,100.00000,100.00000,100.00000,-3.36580
2015-12-31,,,,,,,,,,,,,0.00000,,,,,
2014-12-31,,,,,,,,,,,,,0.00000,,,,,
2014-06-30,,,,,,,,,,,,,0.00000,,,,,
2013-12-31,,,,,,,,,,,,,0.00000,,,,,
2013-06-30,,,,,,,,,,,,,0.00000,,,,,
2012-12-31,,,,,,,,,,,,,0.00000,,,,,
2012-06-30,,,,,,,,,,,,,0.00000,,,,,
2011-12-31,,,,,,,,,,,,,0.00000,,,,,
2011-06-30,,,,,,,,,,,,,0.00000,,,,,
2010-12-31,,,,,,,,,,,,,0.00000,,,,,
2010-06-30,,,,,,,,,,,,,0.00000,,,,,
2009-12-31,,,,,,,,,,,,,0.00000,,,,,
2009-06-30,,,,,,,,,,,,,0.00000,,,,,
