Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.35500,3.67800,0.67700,2.52400,3.23400,,5.75800,-5.08100,-5.18000,-10.26100,0.02100,-10.28200,-10.28200,,-10.28200,-4.72000,-5.08100,10.51100,10.51100,-0.98000,-0.98000,2.10690,,15.54540,-116.67050,-116.67050,-235.61420,-236.09640,0.05830,1.21710,0.82110,109.61190,,-30.13570,-13.75810,-30.03360,,-0.2534,-0.3128
2024-06-30,5.06300,4.61600,0.44700,1.89800,3.03300,,4.93100,-4.48400,-1.82300,-6.30700,-0.00200,-6.30500,-6.30500,,-6.30500,-4.12700,-4.48400,9.27940,9.27940,-0.68000,-0.68000,1.65020,,8.82880,-88.56410,-88.56410,-124.57040,-124.53090,0.08840,1.43800,1.03580,86.88920,-35.28460,-35.54720,-11.00430,-35.28460,1.92420,-0.388,-0.7123
2024-03-31,4.96400,4.35700,0.60700,1.47000,2.87100,,4.34100,-3.73400,-5.97100,-9.70500,0.02400,-9.72900,-9.72900,,-9.72900,-3.36600,-3.73400,9.23410,9.23410,-1.05000,-1.05000,1.97850,,12.22800,-75.22160,-75.22160,-195.50760,-195.99110,0.07960,1.31590,0.93360,96.40010,,-42.20830,-15.59710,-41.93720,,-0.49900,-0.63540
2023-12-31,5.33800,4.61900,0.71900,1.80800,2.79200,-0.01300,4.61300,-3.89400,2.27100,-1.62300,0.12000,-1.74300,-1.74300,,-1.74300,-3.54800,-3.89400,9.01300,9.01300,-0.17000,-0.17000,2.74180,,13.46950,-72.94870,-72.94870,-30.40470,-32.65270,0.08030,1.62300,1.03830,86.67850,,-5.54570,-2.62270,-5.51670,,-0.3094,-0.565
2023-09-30,4.77600,3.88000,0.89600,1.53300,2.61200,0.22400,3.92100,-3.02500,0.87700,-2.14800,0.04800,-2.19600,-2.19600,,-2.19600,-2.68600,-3.02500,9.21700,9.21700,-0.24000,-0.24000,6.30850,,18.76050,-63.33750,-63.33750,-44.97490,-45.97990,0.07130,1.06130,1.17320,76.71480,,-6.68130,-3.27680,-6.64450,3.58500,-0.3523,-0.5348
2023-06-30,4.77300,3.63600,1.13700,2.02400,3.12000,,5.14400,-4.00700,4.93500,0.92800,0.01200,0.91600,0.91600,,0.91600,-3.69200,-4.00700,9.20890,9.20890,0.10000,0.10000,6.98680,,23.82150,-83.95140,-83.95140,19.44270,19.19130,0.07420,1.16800,1.25010,71.99250,2.62250,2.63740,1.42310,2.62250,4.81650,-0.5771,-0.6768
2023-03-31,3.79900,2.97300,0.82600,2.10200,3.08800,,5.19000,-4.36400,0.67600,-3.68800,0.00500,-3.69300,-3.69300,,-3.69300,-4.06100,-4.36400,8.38810,8.38810,-0.44000,-0.44000,6.82980,,21.74260,-114.87230,-114.87230,-97.07820,-97.20980,0.05530,1.17230,1.07590,83.65100,,-11.16220,-5.37820,-11.09010,,0.07770,-0.10170
2022-12-31,11.61800,3.46000,8.15800,2.69900,2.96100,-0.37500,6.03500,2.12300,-9.51500,-7.39200,0.07300,-7.46500,-7.45700,,-7.45700,2.40700,2.12300,4.98700,4.98700,-1.26000,-1.26000,3.80190,,70.21860,18.27330,18.27330,-63.62540,-64.18490,0.23230,1.76260,1.16390,77.32660,-68.32510,-69.80250,-14.90920,-68.32510,1.50750,0.5192,0.4875
2022-09-30,5.80300,3.36900,2.43400,2.88300,3.06100,,5.94400,-3.51000,-0.68400,-4.19400,0.00500,-4.19900,-4.19900,,-4.19900,-3.17200,-3.51000,4.78400,4.78400,-0.88000,-0.88000,2.71280,,41.94380,-60.48600,-60.48600,-72.27300,-72.35910,0.20300,1.79200,1.16620,77.17390,-253.56180,-298.22480,-14.68950,-253.56280,0.28450,-0.9339,-0.9505
2022-06-30,4.66800,3.55500,1.11300,2.19100,2.28700,-0.30900,4.78700,-3.67400,-0.67600,-4.35000,0.00400,-4.35400,-4.35400,,-4.35400,-3.34500,-3.67400,4.73400,4.73400,-0.92000,-0.92000,1.61380,,23.84320,-78.70610,-78.70610,-93.18770,-93.27340,0.22120,1.78550,1.05800,85.06430,194.81060,174.22980,-20.62920,194.80990,-0.47190,-0.9782,-1.0023
2022-03-31,4.40700,2.94700,1.46000,2.40800,2.33600,,4.74400,-3.28400,-0.30100,-3.58500,-0.00400,-3.58100,-3.58900,,-3.58900,-2.96300,-3.28400,4.10500,4.10500,-0.87000,-0.87000,1.95160,,33.12910,-74.51780,-74.51780,-81.34790,-81.43860,0.16710,1.53490,1.37720,65.35060,-184.52300,-215.68510,-13.61170,-184.52440,0.41070,-0.99030,-1.02920
2021-12-31,5.48700,3.94800,1.53900,2.46100,2.59900,,5.06000,-3.52100,-0.63500,-4.15600,0.00400,-4.16000,-4.16000,,-4.16000,-3.24500,-3.52100,3.89200,3.89200,-1.10070,-1.10070,1.39460,,28.04810,-64.16990,-64.16990,-75.74270,-75.81560,0.27790,3.29000,2.02770,44.38490,90.79000,85.26340,-21.06970,90.79010,-1.17610,-0.5749,-0.6047
2021-09-30,6.37200,3.91700,2.45500,2.89700,2.44200,,5.33900,-2.88400,-0.45700,-3.34100,0.00400,-3.34500,-3.34500,,-3.34500,-2.54900,-2.88400,3.89330,3.89330,-0.83970,-0.83970,1.87440,,38.52790,-45.26050,-45.26050,-52.43250,-52.49530,0.27510,3.12860,1.79340,50.18360,407.42740,294.71390,-14.43930,407.43000,-0.21090,-0.7236,-0.7568
2021-06-30,6.05700,3.69600,2.36100,2.65600,2.60000,,5.25600,-2.89500,-0.28100,-3.17600,0.01900,-3.19500,-3.19500,,-3.19500,-2.54100,-2.89500,3.89270,3.89270,-0.83970,-0.83970,2.22750,,38.97970,-47.79590,-47.79590,-52.43520,-52.74890,0.23110,2.64570,2.05460,43.80390,-150.85030,-178.69130,-12.19280,-150.84990,0.54400,-0.2774,-0.2865
2021-03-31,5.84700,3.43100,2.41600,2.24200,2.09500,,4.33700,-1.92100,-0.93000,-2.85100,,-2.85100,-2.85100,,-2.85100,-1.64800,-1.92100,4.07410,4.07410,-0.69980,-0.69980,2.41480,,41.32030,-32.85450,-32.85450,-48.76010,-48.76010,0.19690,2.33400,1.04900,85.79780,-59.19870,-63.79500,-9.60130,-59.19850,1.23850,-0.71500,-0.76850
2020-12-31,6.67300,4.34500,2.32800,2.22500,2.48900,,4.71400,-2.38600,0.65700,-1.72900,,-1.72900,-1.72900,-0.00300,-1.73200,-2.16200,-2.38600,3.88830,3.88830,-0.48990,-0.48990,3.16880,,34.88690,-35.75610,-35.75600,-25.91040,-25.95530,0.21480,3.14860,2.06660,43.55010,-23.77620,-25.02530,-5.56490,-23.77610,1.86840,-0.8542,-0.9682
2020-09-30,6.62500,3.85500,2.77000,2.14200,2.17000,,4.31200,-1.54200,-0.44800,-1.99000,,-1.99000,-1.99000,0.08300,-1.90700,-1.21500,-1.54200,3.89300,3.89300,-0.48990,-0.48990,2.60730,,41.81130,-23.27550,-23.27550,-30.03770,-28.78490,0.18760,2.13570,1.89560,47.47930,-23.09390,-24.15930,-5.63400,-23.09390,2.21590,0.2291,0.1665
2020-06-30,4.02700,2.81000,1.21700,1.61200,2.31100,,3.92300,-2.70600,-0.39000,-3.09600,,-3.09600,-3.09600,,-3.09600,-2.43500,-2.70600,4.02190,4.02190,-0.76980,-0.76980,3.04660,,30.22100,-67.19640,-67.19640,-76.88110,-76.88110,0.11630,1.45290,1.15320,78.04320,-30.55670,-31.79950,-8.94380,-30.55670,2.60570,-0.6868,-0.7106
2020-03-31,4.43800,3.20800,1.23000,1.71900,1.71700,,3.43600,-2.20600,-0.25500,-2.46100,,-2.46100,-2.46100,,-2.46100,-1.93800,-2.20600,3.90750,3.90750,-0.62980,-0.62980,3.07540,,27.71520,-49.70710,-49.70710,-55.45290,-55.45290,0.11740,1.60080,1.25370,71.78910,-19.09380,-19.72590,-6.51090,-19.09380,3.31470,-0.46140,-0.49830
2019-12-31,5.44200,4.09200,1.35000,1.94400,2.41900,-0.13100,4.49400,-3.14400,-0.38200,-3.52600,,-3.52600,-3.52600,0.08300,-3.44300,-2.84300,-3.14400,3.88390,3.88390,-0.90970,-0.90970,3.43470,,24.80710,-57.77290,-57.77290,-64.79240,-63.26720,0.13410,2.53690,1.19420,75.36380,-23.24480,-23.92130,-8.68690,-23.24480,3.90220,-1.4267,-1.4748
2019-09-30,5.14000,3.96900,1.17100,1.57400,2.17900,-0.14000,3.89300,-2.72200,-0.24200,-2.96400,,-2.96400,-2.96400,2.75600,-0.20800,-2.42600,-2.72200,2.97230,2.97230,-0.07000,-0.07000,3.64730,,22.78210,-52.95720,-52.95720,-57.66540,-4.04670,0.11600,2.79700,0.99690,90.28020,-16.18080,-16.58460,-6.68860,-16.18080,4.71640,-0.4273,-0.4711
2019-06-30,20.74600,3.48100,17.26500,0.17200,2.34300,-0.81200,3.32700,13.93800,-1.22200,12.71600,,12.71600,12.71600,,12.71600,14.21600,13.93800,3.86620,3.86620,3.28900,3.28900,4.13480,,83.22090,67.18400,67.18400,61.29380,61.29370,0.41600,2.26780,4.46250,20.16820,69.94890,71.77290,25.49570,69.94880,4.68060,4.4597,4.4087
2019-03-31,0.46100,0.30700,0.15400,1.27900,2.36500,-0.08900,3.73300,-3.57900,-0.58100,-4.16000,,-4.16000,-4.16000,0.05000,-4.11000,-3.30500,-3.57900,3.91550,3.91550,-1.04970,-1.04970,3.98910,,33.40560,-776.35580,-776.35580,-902.38610,-891.54020,0.01330,0.20860,0.06840,1315.44500,-80.91810,-89.23210,-11.95680,-80.91810,1.32370,-0.47150,-0.53250
2018-12-31,0.99200,0.69200,0.30000,0.09700,2.37100,7.44800,-4.98000,5.28000,0.71500,5.99500,,5.99500,5.99500,,10.60300,5.41000,5.28000,3.87460,3.87460,2.72920,2.72920,6.68020,,30.24190,532.25810,532.25810,604.33470,1068.85100,0.02810,0.41190,0.13410,671.37100,66.81900,70.72080,16.99460,66.81900,2.30800,-0.5242,-0.5583
2018-09-30,0.85800,0.38600,0.47200,1.24600,1.46600,,2.71200,-2.24000,-0.70400,-2.94400,,-2.94400,-2.94400,,-2.94400,-2.09800,-2.24000,3.88390,3.88390,-0.76980,-0.76980,5.46600,,55.01170,-261.07230,-261.07230,-343.12360,-343.12360,0.02470,0.22160,0.18240,493.42660,165.58000,128.55900,-8.47020,165.57930,-0.45780,-0.3315,-0.3513
2018-06-30,1.03100,0.62900,0.40200,1.53600,2.09000,-0.06200,3.68800,-3.28600,-0.87900,-4.16500,,-4.16500,-4.16500,,-4.16500,-3.11600,-3.28600,3.86570,3.86570,-1.04970,-1.04970,6.01820,,38.99130,-318.71970,-318.71970,-403.97670,-403.97670,0.02810,0.33620,0.19740,456.02330,-404.36990,-829.68330,-11.33550,-404.36890,0.26520,-1.471,-1.5219
2018-03-31,0.52000,0.38100,0.13900,1.19300,2.06000,-0.60000,3.85300,-3.71400,-0.83700,-4.55100,,-4.55100,-4.55100,,-4.55100,-3.57900,-3.71400,3.86520,3.86520,-1.18960,-1.18960,6.07010,,26.73080,-714.23070,-714.23070,-875.19240,-875.19240,0.01270,0.18860,0.15840,568.03850,-90.51310,-102.59240,-11.15440,-90.51310,1.30080,-0.81010,-0.84010
2017-12-31,0.53000,0.41600,0.11400,1.18300,2.45500,,3.63800,-3.52400,1.27100,-2.25300,,-2.25300,-2.25300,-0.11600,-2.36900,-3.38700,-3.52400,3.33540,3.33540,-0.41990,-0.41990,7.64220,,21.50940,-664.90540,-664.90550,-425.09450,-446.98130,0.01200,0.22060,0.14870,605.37740,-23.42000,-25.07510,-5.10480,-23.42000,2.48900,-1.1753,-1.2191
2017-09-30,0.73900,0.33800,0.40100,0.84400,2.35400,,3.19800,-2.79700,-0.70700,-3.50400,,-3.50400,-3.50400,-7.50000,-11.00400,-2.66900,-2.79700,3.20640,3.20640,-3.42900,-3.42900,3.58020,,54.26250,-378.48440,-378.48440,-474.15420,-1489.03900,0.01510,0.20650,0.17440,516.12990,-29.73270,-31.46550,-7.14940,-29.73270,3.04900,-0.8889,-1.042
2017-06-30,0.68700,0.48400,0.20300,1.66400,2.24200,,3.90600,-3.70300,-0.75900,-4.46200,,-4.46200,-4.46200,,-4.46200,-3.55700,-3.70300,3.13610,3.13610,-1.39960,-1.39960,5.93370,,29.54880,-539.01030,-539.01030,-649.49050,-649.49050,0.02510,0.43060,0.22240,404.67250,1253.36400,428.62600,-16.33240,1253.37100,-0.11350,-1.3506,-1.4045
2017-03-31,0.54000,0.34000,0.20000,1.77100,2.09200,,3.86300,-3.66300,-0.65100,-4.31400,,-4.31400,-4.31400,,-4.31400,-3.50700,-3.66300,3.13380,3.13380,-1.39960,-1.39960,5.79830,,37.03700,-678.33330,-678.33330,-798.88890,-798.88890,0.01710,0.34310,0.16480,546.00000,-114.09680,-141.34990,-13.64070,-114.09680,1.20650,-1.51860,-1.58110
2016-12-31,0.43000,0.85500,-0.42500,0.78300,3.29900,,4.08200,-4.50700,2.61800,-1.88900,,-1.88900,-1.88900,,-1.88900,-4.30400,-4.50700,3.12410,3.12410,-0.62980,-0.62980,6.24760,,-98.83720,-1048.14000,-1048.14000,-439.30230,-439.30230,0.01200,1.01300,0.15700,573.27910,-24.31150,-26.99730,-5.28180,-24.31150,2.47940,-1.3532,-1.3623
2016-09-30,0.51800,0.47400,0.04400,2.35500,2.63300,,4.98800,-4.94400,-0.76700,-5.71100,,-5.71100,-5.71100,,-5.71100,-4.81100,-4.94400,3.12340,3.12340,-1.81950,-1.81950,7.55370,,8.49420,-954.44010,-954.44010,-1102.51000,-1102.51000,0.01300,0.44590,0.19880,452.77990,-64.37110,-71.02350,-14.30580,-64.37110,2.83870,-1.3983,-1.463
