Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2022-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2020-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2019-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2019-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2018-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2017-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2015-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2014-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2013-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2013-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2012-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2012-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2011-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2011-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2010-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2010-06-30,265.62100,265.62100,265.62100,265.62100,265.62100,5.56900,5.56900,265.62100,265.62100,48.96700,49.25700,0.11000,0.11000,0.94480,0.39060,0.66530,100.00000,100.00000,100.00000,100.00000,2.09660,0.00780,0.02170,4150.56900,0.06010,-0.07980,0.01640,0.03660
2009-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
