Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9.07500,5.56100,3.51400,7.17200,7.17200,-3.65800,3.88700,0.22900,6.60600,-6.37700,-6.37700,-2.69000,-2.87700,-3.65800,3.79300,3.79300,-0.71000,-0.71000,0.25360,-0.01010,-2.45610,38.72180,-40.30850,-40.30850,2.52340,-29.64190,0.29000,1.44350,62.35040,42.54170,20.09830,-20.37970,42.97170,-1.02230,0.8614,0.8597
2024-06-30,21.85500,15.92400,5.93100,7.99600,7.99600,-2.06500,-1.35000,-3.41500,-0.27400,-3.14100,-3.14100,-0.59000,-1.28500,-2.06500,3.70100,3.70100,-0.16000,-0.16000,1.31470,1.33660,-4.18070,27.13800,-9.44860,-9.44860,-15.62570,-2.69960,0.45080,1.11980,80.37200,35.80710,12.08120,-6.47950,-12.05250,-0.59850,-1.1065,-1.1092
2024-03-31,22.27500,17.27700,4.99800,7.80500,7.80500,-2.80700,-1.21200,-4.01900,-0.20000,-3.81900,-3.81900,-0.77500,-2.02500,-2.80700,3.50900,3.50900,-0.22000,-0.22000,1.26350,1.21790,-5.84270,22.43770,-12.60160,-12.60160,-18.04270,-3.47920,0.42210,1.03920,86.60610,65.95860,16.24760,-7.23710,-14.37550,-0.39790,-1.62550,-1.62550
2023-12-31,41.01100,31.69600,9.31500,9.27800,18.10800,-8.79300,-0.86100,-9.65400,0.40200,-10.05600,-10.05600,-2.74300,-8.01600,-8.79300,2.98800,2.98800,-0.78000,-0.78000,1.08240,1.14790,-8.16300,22.71340,-21.44060,-21.44060,-23.54000,-6.68840,0.58030,1.10220,81.65200,273.11240,45.94720,-14.22910,-40.39200,-0.25660,-0.616,-0.6306
2023-09-30,59.47200,47.71900,11.75300,7.25900,7.25900,4.49400,-0.97700,3.51700,0.16600,3.35100,3.35100,0.57100,5.24800,4.49400,2.99000,3.04400,0.09000,0.09000,1.16310,0.77840,3.69240,19.76220,7.55650,7.55650,5.91370,0.96010,0.68560,1.08850,82.68410,52.38490,-27.25470,3.86290,11.60700,0.44830,0.4911,0.4901
2023-06-30,35.40400,25.33100,10.07300,7.81800,7.81800,2.25500,-0.98600,1.26900,0.07400,1.19500,1.19500,0.19200,2.98600,2.25500,2.92100,3.11300,0.03000,0.03000,1.19270,0.84940,5.88290,28.45160,6.36930,6.36930,3.58430,0.54230,0.56960,1.19490,75.31900,29.72840,-7.88220,1.92280,4.47820,0.27160,-0.0876,-0.1151
2023-03-31,21.22300,14.79000,6.43300,6.57400,6.57400,-0.14100,-1.26700,-1.40800,-0.07400,-1.33400,-1.33400,-0.21400,0.58300,-0.14100,2.90100,2.90100,-0.07000,-0.07000,1.22010,0.87160,7.02950,30.31150,-0.66440,-0.66440,-6.63430,-1.00830,0.39900,1.11410,80.78630,-39.60820,8.18360,-2.50830,-5.08680,0.22800,1.06860,1.05210
2022-12-31,30.74300,21.99830,8.74460,6.25950,6.25950,2.48520,-0.96080,1.52440,0.11090,1.41350,1.41350,-2.54850,3.18480,2.48520,2.84800,2.89100,-0.04000,-0.04000,1.27320,0.80480,4.23930,28.44430,8.08370,8.08370,4.95840,-8.28980,0.52890,1.16650,77.15130,25.26320,-9.70590,2.43170,4.93210,0.39460,0.4802,0.2423
2022-09-30,25.98540,18.52460,7.46070,5.61590,5.61600,1.84480,-0.90560,0.93920,0.12840,0.81080,0.81080,0.81080,2.54010,1.84480,14.17800,14.54500,0.06000,0.06000,1.29370,0.82200,4.74960,28.71130,7.09950,7.09950,3.61440,3.12020,0.48300,1.21490,74.07890,16.21630,-5.18200,1.50700,2.88620,0.34390,0.2285,0.2285
2022-06-30,21.26130,12.92550,8.33580,5.27170,5.27170,3.06410,-0.36310,2.70100,0.08670,2.61440,2.61440,2.61440,3.73380,3.06410,14.25800,14.25800,0.18000,0.18000,1.13610,0.80640,4.28250,39.20650,14.41190,14.41190,12.70400,12.29630,0.46360,1.43240,62.83120,55.32530,-15.93260,5.70100,10.70930,0.32500,0.1251,0.1251
2022-03-31,11.37030,6.58950,4.78080,4.19590,4.19600,0.58490,-1.25650,-0.67160,,-0.67160,-0.67160,-0.67160,1.24320,0.58490,7.10600,7.10600,-0.09000,-0.09000,0.97750,0.91700,11.42790,42.04620,5.14380,5.14380,-5.90680,-5.90680,0.31850,1.46640,61.37620,-37.35670,3.38780,-1.88120,-3.10130,0.12680,-0.11990,-0.11990
2021-12-31,12.90100,7.87900,5.02200,3.69800,3.69800,1.32400,-3.44640,-2.12300,0.00860,-2.13160,-2.13100,-2.13100,1.91470,1.32400,0.03400,0.03400,-62.34000,-62.34000,1.41720,1.01890,-55.34240,38.92720,10.26280,10.26280,-16.45610,-16.51810,0.35840,1.63900,54.91100,568.48500,9.47700,-5.91950,-10.75150,-11.02520,16.0694,16.0694
2021-09-30,8.36070,4.12580,4.23500,3.66810,3.66800,0.56690,-0.79240,-0.22550,0.00090,-0.22640,-0.22640,-0.22640,1.14000,0.56690,0.03400,0.03400,-6.62000,-6.62000,,,,50.65290,6.78060,6.78060,-2.69700,-2.70750,,,,,,,,,16.3918,16.3918
2021-06-30,11.18190,5.00740,6.17450,3.65450,3.65450,2.52000,-0.80670,1.71340,0.05400,1.65940,1.65940,1.65940,3.09310,2.52000,0.03400,0.03400,48.54000,48.54000,,,,55.21900,22.53650,22.53650,15.32260,14.83970,,,,,,,,,-27.1203,-27.1203
