Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,0.27000,0.27000,0.52350,-0.23440,-1.11310,-1.34750,,-1.35080,-1.35080,-1.35080,-0.20310,-0.23440,10.24700,10.24700,-0.13000,-0.13000,2.93270,100.00000,-86.82660,-86.82650,-499.08700,-500.30920,0.08960,1.35000,66.66670,-77.02540,-77.02530,-44.83970,-77.02530,0.14720,-0.0032,-0.0032
2024-04-30,0.20000,0.20000,0.72130,-0.52130,-0.28630,-0.80760,,-0.80760,-0.80760,-0.80760,-0.44990,-0.52130,9.79900,9.79900,-0.08000,-0.08000,15.94780,100.00000,-260.64100,-260.64100,-403.79400,-403.79400,0.06000,1.00000,90.00000,-26.01270,-26.12490,-24.22680,-26.01270,0.26050,-0.0068,-0.0068
2024-01-31,0.02500,0.02500,0.57250,-0.54750,0.13990,-0.40760,,-0.40760,-0.40760,-0.40760,-0.40770,-0.54750,9.62700,9.62700,-0.04000,-0.04000,1.11390,100.00000,-2190.06400,-2190.06400,-1630.55200,-1630.55200,0.01000,0.05000,1800.00000,-80.52070,-86.19580,-16.37940,-80.52080,0.05260,-0.0221,-0.0221
2023-10-31,0.12500,0.12500,0.78180,-0.65680,0.03130,-0.62550,,-0.62550,-0.62550,-0.62550,-0.51400,-0.65680,9.62700,9.62700,-0.06000,-0.06000,1.30590,100.00000,-525.42320,-525.42320,-500.37040,-500.37040,0.04110,0.19120,470.59200,-68.43970,-72.68100,-20.57040,-68.43960,0.09490,0.02030,0.01980
2023-07-31,0.15000,0.15000,0.61290,-1.22490,-2.56390,-3.78890,-0.54390,-3.24500,-3.24500,-3.24500,-1.08440,-1.22490,9.62700,9.62700,-0.34000,-0.34000,1.65150,100.00000,-816.61360,-816.61400,-2525.89800,-2163.32800,0.03980,0.12000,749.99920,-210.80260,-221.34700,-86.10680,-210.80250,0.15990,-0.101,-0.0928
2023-04-30,0.10000,0.10000,0.70190,-0.60190,0.27430,-0.32770,0.00810,-0.33580,-0.33580,-0.33580,-0.45500,-0.60190,9.62700,9.62700,-0.03000,-0.03000,2.53130,100.00000,-601.93400,-601.93400,-327.67100,-335.77000,0.01220,0.03980,2260.80000,-7.01810,-7.15770,-4.11100,-7.01810,0.49700,-0.063,-0.0631
2023-01-31,1.90000,1.90000,0.56610,1.33390,0.04410,1.37790,0.56700,0.81100,0.81100,0.81100,1.47940,1.33390,9.62700,9.62700,0.08000,0.08000,2.72970,100.00000,70.20460,70.20460,72.52310,42.68320,0.22530,0.78770,114.25260,15.83910,16.19760,9.61460,15.83910,0.53180,-0.1162,-0.1161
2022-10-31,0.30000,0.30000,0.56790,-0.26790,0.15540,-0.11250,,-0.11250,-0.11250,-0.11250,-0.12790,-0.26790,9.62700,9.62700,-0.01000,-0.01000,1.92000,100.00000,-89.29870,-89.29870,-37.50500,-37.50500,0.03500,0.34800,258.60000,-2.61110,-2.69450,-1.31410,-2.61110,0.44760,0.03780,0.03690
2022-07-31,0.88120,0.88120,0.69190,-0.47070,-0.90750,-1.37820,,-1.37820,-1.37820,-0.97430,-0.35860,-0.47070,9.51100,9.51100,-0.10000,-0.10000,2.14090,25.10470,-53.41080,-53.41080,-156.39120,-110.55740,0.10830,1.15650,77.82310,-31.66300,-32.81910,-16.93710,-31.66300,0.45210,0.014,0.0052
2022-04-30,0.26190,0.26190,0.59860,-0.33670,0.59750,0.26080,,0.26080,0.26080,0.22830,-0.22360,-0.33670,9.62700,9.62700,0.02000,0.02000,2.14090,100.00000,-128.54630,-128.54630,99.55560,87.16850,0.03220,0.34370,261.83070,-1.03720,5.99080,3.20460,5.99090,,-0.0128,-0.015
2022-01-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2021-10-31,0.51650,0.51650,1.10330,-0.58680,-0.31270,-0.89950,,-0.89950,-0.89950,-1.08180,-0.39330,-0.58680,9.22600,9.22600,-0.12000,-0.12000,,100.00000,-113.61500,-113.61500,-174.16620,-209.45680,,,,,,,,,-0.01660,0.01340
2021-07-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2021-01-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2020-07-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2019-07-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2018-07-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
