Date,revenue,cost-goods-sold,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2023-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2022-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2022-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2021-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2020-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2019-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2018-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2017-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2016-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2015-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2014-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2014-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2013-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2013-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2012-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2012-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2011-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2011-06-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-2.5955,-1.7913
2010-12-31,14952.18000,13280.08000,1672.10000,1672.10000,385.74000,1931.09000,497.73000,1433.36000,1319.83900,1319.83900,2034.67000,1672.10000,2808.76500,2808.76500,0.47000,0.47000,0.91750,0.32490,0.63230,10.33530,11.18300,11.18300,12.91510,8.82710,0.27350,2.32090,2.72310,33.05050,6.59190,-31.06030,2.41440,4.44990,1.0026,0.6463
2010-09-30,14899.23000,12369.14000,2530.09100,2530.09100,-268.36000,2261.72000,523.82000,1737.90000,1737.89900,1737.89900,2850.63100,2530.09100,2991.22000,3131.35000,0.58000,0.56000,1.02230,0.35760,0.74600,16.98130,16.98140,16.98140,15.18010,11.66440,0.28240,2.19940,2.77000,32.49130,220.09870,-37.17920,3.29360,6.27150,0.7024,0.5542
2010-06-30,14996.73000,12796.73000,2200.00000,2200.00000,-176.10000,2023.89000,551.27000,1472.62000,1472.61900,1472.61900,2476.62000,2200.00000,3118.91900,3205.55600,0.47000,0.46000,0.94790,0.38500,0.84730,14.66980,14.66990,14.66990,13.49550,9.81960,0.28010,2.28010,2.38770,37.69400,176.99530,-21.68360,2.75050,5.42600,0.6098,0.4753
