Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,27.63100,9.61100,,-37.24200,6.04200,-31.20000,-31.20000,-31.20000,-31.20000,-38.91800,-37.24200,282.38500,282.38500,-0.11000,-0.11000,10.99660,-6.93270,-6.93270,-5.89910,-6.93270,2.97130,-0.0139,-0.0138
2024-06-30,33.03200,12.25000,,-67.78200,4.58100,-63.20100,-63.20100,-63.20100,-63.20100,-69.02600,-67.78200,217.80700,217.80700,-0.29000,-0.29000,16.79210,-14.01080,-14.01080,-12.02130,-14.01080,1.65210,-0.0666,-0.0667
2024-03-31,28.57400,10.27700,,-38.85100,3.83400,-35.01700,-35.01700,-35.01700,-35.01700,-40.19500,-38.85100,151.16200,151.16200,-0.23000,-0.23000,10.13860,-12.14140,-12.14140,-9.46350,-12.14140,1.90680,-0.22000,-0.22020
2023-12-31,24.80500,9.06700,,-33.87200,4.17100,-29.70100,-29.70100,-29.70100,-29.70100,-35.12500,-33.87200,150.18500,150.18500,-0.20000,-0.20000,12.26010,-9.37870,-9.37870,-7.51360,-9.37870,2.09600,-0.1659,-0.1665
2023-09-30,25.21300,9.44500,,-34.65800,4.29700,-30.36100,-30.36100,-30.36100,-30.36100,-36.08700,-34.65800,150.45000,150.45000,-0.20000,-0.20000,11.44650,-8.95670,-8.95670,-7.23900,-8.95670,2.25180,-0.1594,-0.161
2023-06-30,26.21800,9.75200,,-35.97000,4.18900,-31.78100,-31.78100,-31.78100,-31.78100,-36.42600,-35.97000,150.03700,150.03700,-0.21000,-0.21000,13.90400,-8.76220,-8.76220,-7.21210,-8.76220,2.41190,-0.1723,-0.1739
2023-03-31,27.58500,9.44000,,-37.02500,3.82600,-33.19900,-33.19900,-33.19900,-33.19900,-37.10600,-37.02500,149.50400,149.50400,-0.22000,-0.22000,15.58920,-8.59070,-8.59070,-7.10080,-8.59070,2.58150,-0.17630,-0.18440
2022-12-31,29.35600,8.72200,,-138.07800,2.82800,-135.25000,-135.25000,-135.25000,-135.25000,-137.97000,-138.07800,122.02500,122.02500,-1.09000,-1.09000,9.12910,-32.83940,-32.83940,-26.26680,-32.83940,2.75800,-0.2098,-0.2157
2022-09-30,28.18400,8.77800,,-36.96200,1.47300,-35.48900,-35.48900,-35.48900,-35.48900,-36.36500,-36.96200,120.79800,120.79800,-0.29000,-0.29000,13.21400,-9.71450,-9.71450,-7.94950,-9.71450,2.98690,-0.196,-0.2103
2022-06-30,27.48800,8.41700,,-35.90500,0.29700,-35.60800,-35.60800,-35.60800,-35.60800,-35.38300,-35.90500,120.19400,120.19400,-0.30000,-0.30000,17.08950,-9.01320,-9.01320,-8.00500,-9.01320,3.27730,-0.2245,-0.2621
2022-03-31,27.42900,7.07600,,-36.50500,0.04700,-36.45800,-36.45800,-36.45800,-36.45800,-36.08500,-36.50500,119.49100,119.49100,-0.31000,-0.31000,18.85720,-8.58520,-8.58520,-7.66780,-8.58520,3.48850,-0.21600,-0.27740
2021-12-31,24.12800,6.92000,,-31.04800,0.58400,-30.46400,-30.46400,-30.46400,-30.46400,-30.69500,-31.04800,66.29100,66.29100,0.62000,0.62000,16.01710,-6.67300,-6.67300,-6.07560,-6.67300,3.83310,-0.6246,-0.7394
2021-09-30,19.95100,6.91600,-17.49700,-46.04400,-0.02500,-46.06900,-46.06900,-46.06900,-46.06900,-45.82400,-46.04400,99.12700,99.12700,-0.46000,-0.46000,25.13340,-9.53830,-9.53830,-8.82640,-9.53830,4.07090,0.8635,0.8391
2021-06-30,17.59800,5.09800,,-28.18400,-0.03000,-28.21400,-28.21400,-28.21400,-28.21400,-27.98200,-28.18400,23.54600,23.54600,-1.20000,-1.20000,11.01320,18.80970,18.80970,-13.41080,18.80970,-6.15470,-0.7351,-0.7594
2021-03-31,12.24500,3.68200,,-19.60700,1.59000,-18.01700,-18.01700,-18.01700,-18.01700,-19.44500,-19.60700,22.23300,22.23300,-0.81000,-0.81000,,,,,,,-0.70460,-0.71010
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0.9291,0.9729
2020-09-30,9.06800,2.02000,,-11.16300,0.55500,-10.60800,-10.60800,-10.60800,-10.60800,-11.04000,-11.16300,21.08500,21.08500,-0.50000,-0.50000,,,,,,,-0.3476,-0.3543
2020-06-30,5.86300,1.42100,,-7.28400,1.79300,-5.49100,-5.49100,-5.49100,-5.49100,-7.28400,-7.28400,20.83500,20.83500,-0.26000,-0.26000,,,,,,,-0.5815,-0.6186
