Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.80250,2.42630,-10.22880,0.11970,-10.10910,-0.01600,-10.09310,-10.09310,-10.09310,-10.16740,-10.22880,93.59910,93.59910,-0.11000,-0.11000,2.17290,-10.81660,-95.23650,-10.01650,-10.81660,0.99560,-0.0747,-0.0747
2024-06-30,6.42870,2.79650,-9.22520,0.06070,-9.16450,-0.01170,-9.15280,-9.15280,-9.15280,-9.15870,-9.22520,87.89120,87.89120,-0.10000,-0.10000,2.74280,-9.56640,-69.24780,-8.98350,-9.56640,1.05290,-0.064,-0.0642
2024-03-31,6.54570,2.24790,-8.79360,0.18260,-8.61100,-0.01640,-8.59460,-8.59460,-8.59460,-8.72600,-8.79360,87.40290,87.40290,-0.10000,-0.10000,4.16710,-8.85480,-57.98280,-8.50570,-8.85480,1.10670,-0.11640,-0.11780
2023-12-31,6.96360,2.45920,-9.42280,0.23610,-9.18670,-0.36890,-8.81770,-8.81770,-8.81770,-9.35810,-9.42280,78.25100,78.25100,-0.10000,-0.10000,5.84550,-8.51660,-36.44880,-8.14930,-8.51660,1.19360,-0.0746,-0.0829
2023-09-30,6.94500,1.91500,-8.86000,0.05810,-8.80200,-0.25930,-8.54270,-8.54270,-8.54270,-8.74670,-8.86000,78.07690,78.07690,-0.11000,-0.11000,6.09330,-9.26750,-65.56700,-8.99540,-9.26750,1.16570,-0.0998,-0.0987
2023-06-30,7.59910,2.57930,-10.17840,0.04110,-10.13730,-0.31460,-9.82280,-9.82280,-9.82280,-10.11520,-10.17840,75.94280,75.94280,-0.13000,-0.13000,6.30790,-10.47750,-65.87460,-10.11910,-10.47750,1.21980,-0.1096,-0.1152
2023-03-31,6.83780,2.73740,-9.57520,0.03460,-9.54050,-0.27450,-9.26600,-9.26600,-9.26600,-9.51440,-9.57520,73.74430,73.74430,-0.13000,-0.13000,8.55670,-9.44950,-48.00860,-9.12030,-9.44950,1.30240,-0.11470,-0.11540
2022-12-31,4.08270,-4.19610,0.11340,-0.07740,0.03600,4.73850,-4.70250,-4.70250,-8.15640,0.14050,0.11340,72.09020,72.09020,-0.14000,-0.14000,9.79700,-4.64790,-20.95730,-4.47760,-4.64790,1.37950,-0.0459,-0.0445
2022-09-30,4.67790,2.39630,-7.07420,-0.04300,-7.11710,-0.54120,-6.57600,-6.57600,-6.57600,-7.02080,-7.07420,72.03100,72.03100,-0.09000,-0.09000,14.22830,-6.27750,-25.03900,-6.04730,-6.27750,1.45130,-0.0832,-0.0839
2022-06-30,3.77150,3.30870,-7.08020,0.05270,-7.02740,-1.21870,-5.80870,-5.80870,-5.80870,-7.03200,-7.08020,70.95820,70.95820,-0.08000,-0.08000,14.39500,-5.28260,-17.62390,-5.05100,-5.28260,1.52730,-0.0489,-0.0485
2022-03-31,1.21720,6.42100,-7.63820,0.14010,-7.49800,-5.30370,-2.19430,-2.19430,1.25960,-7.60760,-7.63820,35.64170,35.64170,0.04000,0.04000,16.50380,-1.92760,-5.95120,-1.82730,-1.92760,1.60670,-0.07750,-0.08130
2021-09-30,1.87510,3.29880,-5.17390,-0.00420,-5.17810,-0.17500,-5.00310,-5.00310,-2.63880,-5.18110,-5.17390,49.39860,49.39860,-0.05000,-0.05000,,,,,,,-0.0504,-0.0529
2021-06-30,2.18360,10.72880,-12.91240,-0.10530,-13.01770,-0.17500,-12.84270,-12.84270,-8.29470,-12.95020,-12.91240,49.06430,49.06430,-0.17000,-0.17000,,,,,,,-0.0395,-0.0424
2021-03-31,,,,,,,,,,,,,,,0.00000,,,,,,,0.00000,
