Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.97200,3.04400,,-4.01600,-2.15500,-6.17100,,-6.17100,-6.17100,-6.17100,-3.99100,-4.01600,39.51500,39.51500,-0.16000,-0.16000,0.22110,-0.89660,-0.47270,19.23030,19.23030,-154.12090,36.47160,-0.81060,-0.0675,-0.0675
2024-06-30,4.43900,3.32100,161.23300,153.47300,10.63900,164.11200,,164.11200,164.11200,164.11200,153.49700,153.47300,38.84400,38.84400,4.22000,4.22000,0.38540,-0.90700,-0.47560,-587.22600,-587.22590,2862.08600,-1119.83600,-0.71440,-0.1995,-0.1995
2024-03-31,5.73200,4.64900,-63.76900,-74.15000,-43.86800,-118.01800,,-118.01800,-118.01800,-118.01800,-74.12500,-74.15000,37.26800,37.26800,-3.17000,-3.17000,0.15650,-0.02630,-0.02560,59.49060,59.49060,-3892.41400,61.05620,-5.20410,-0.23080,-0.23080
2023-12-31,6.85500,4.68300,324.81100,313.27300,8.48500,321.75800,,321.75800,321.75800,321.75800,313.29700,313.27300,37.16000,37.16000,8.01000,8.01000,0.47680,,,-210.23890,-210.23890,4700.62900,-210.23890,-4.11850,-0.2965,-0.2965
2023-09-30,7.96100,6.32000,-272.06100,-286.34200,-39.03000,-325.37200,,-325.37200,-325.37200,-325.37200,-286.31500,-286.34200,37.16000,37.16000,-8.76000,-8.76000,1.19280,,,253.41290,253.41290,-1846.71100,253.41290,-3.45520,-0.8382,-0.8382
2023-06-30,9.02500,4.94600,,-13.97100,-1.40800,-15.37900,,-15.37900,-15.37900,-15.37900,-13.94800,-13.97100,138.82500,138.82500,-0.11000,-0.11000,0.06260,,-0.08730,134.18330,134.18330,-70.59280,134.18330,-1.66100,-0.0726,-0.0726
2023-03-31,9.20500,3.84100,,-13.04600,-4.59300,-17.63900,,-17.63900,-17.63900,-17.63900,-13.02100,-13.04600,138.82500,138.82500,-0.13000,-0.13000,0.09230,,-0.02050,241.03740,241.03740,-81.60100,241.03740,-1.06060,-0.07970,-0.07970
2022-12-31,27.27700,11.23900,0.81630,-37.69970,-9.07570,-46.77550,,-46.75850,-46.75850,-46.75850,-37.66770,-37.69970,138.84800,138.84800,-0.43000,-0.43000,0.11910,-0.28780,-0.48550,17.29150,17.29150,-433.83280,22.26730,-1.94790,-0.0609,-0.061
2022-09-30,7.47700,2.43600,0.00000,-9.91300,-0.52500,-10.43800,,-10.43800,-10.43800,-10.43800,-9.91300,-9.91300,138.84800,138.84800,-0.08000,-0.08000,0.12330,,,90.35890,90.35880,-3.76380,90.35890,-1.67420,-0.1128,-0.1149
2022-06-30,,,-0.42720,-0.42720,2.31130,1.88410,0.01700,1.86710,1.86710,1.86710,-0.42720,-0.42720,6.90000,6.90000,0.05000,0.05000,0.25710,,,-15.09500,-15.09500,0.67520,-15.09500,-1.79260,-0.0229,-0.0229
2022-03-31,,,-0.38910,-0.38910,3.16250,2.77340,,2.77340,2.77340,2.77340,-0.38910,-0.38910,6.90000,6.90000,0.08000,0.08000,0.65480,,,-19.59100,-19.59100,1.00250,-19.59100,-2.05170,-0.05970,-0.05970
2021-12-31,,,-0.88570,-0.88570,1.13360,0.24790,,0.24790,0.24790,0.24790,-0.88570,-0.88570,6.80700,6.80700,-0.07000,-0.07000,1.00080,,,-1.46410,-1.46410,0.08950,-1.46410,-2.45360,-0.0265,-0.0265
2021-09-30,,,-0.45090,-0.45090,6.10980,5.65890,,5.65890,5.65890,5.65890,-0.45090,-0.45090,6.90000,6.90000,0.16000,0.16000,4.60060,,,-32.94350,-32.94350,2.04140,-32.94350,-2.48950,-0.0472,-0.0472
2021-06-30,,,-0.39840,-0.39840,-3.62680,-4.02520,,-4.02520,-4.02520,-4.02520,-0.39840,-0.39840,6.90000,6.90000,-0.12000,-0.12000,6.68650,,,17.62550,17.62600,-1.44990,17.62600,-3.30970,-0.0655,-0.0655
2021-03-31,,,-0.20090,-0.20090,6.52010,6.31920,,6.31920,6.31920,6.31920,-0.20090,-0.20090,6.90000,6.90000,0.29000,0.29000,4.56920,,,-33.53530,-33.53530,2.27190,-33.53530,-2.73090,-0.08040,-0.08040
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
