Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,11.56600,5.25600,6.31000,2.28600,1.02100,4.76100,1.54900,-2.44300,-0.89400,-0.89400,-0.89400,-0.89400,,1.54900,8.73800,8.77500,-0.10000,-0.10000,,,,,,,,,,,,,,,,,,,
2024-06-30,12.44300,4.76000,7.68300,1.30000,-0.37400,5.08300,2.60000,-1.92800,0.67200,0.67200,0.67200,0.67200,2.60000,2.60000,8.74400,9.69300,0.08000,0.07000,0.46790,0.39670,1.40650,61.74560,20.89530,20.89530,5.40060,5.40060,0.07260,7.80330,8.35660,10.76990,1.04660,1.04660,0.39210,0.63140,7.12510,1.1934,6.2722
2024-03-31,10.59800,5.15800,5.44000,1.37000,-0.60400,4.78400,0.65600,-1.99600,-1.34000,-1.34000,-1.34000,-1.34000,,0.65600,8.68800,8.68800,-0.15000,-0.15000,,,,,,,,,,,,,,,,,,,
2023-12-31,11.55300,5.20900,6.34400,1.76400,,4.91700,1.42700,-2.15300,-0.72600,-0.72600,-0.72600,-0.72600,1.42700,1.42700,8.71100,8.71100,-0.08000,-0.08000,0.35960,0.45880,1.45670,54.91210,12.35180,12.35180,-6.28410,-6.28410,0.06610,7.84490,29.32230,3.06930,-1.10220,-1.10220,-0.41530,-0.59650,7.57550,0.0326,-5.0469
2023-09-30,11.68200,5.99200,5.69000,-7.77700,,-5.13600,10.82600,-1.96500,8.86100,8.86100,8.62800,8.62800,10.82600,10.82600,8.65500,9.43100,1.00000,0.91000,,0.58330,1.39990,48.70740,92.67250,92.67250,75.85170,73.85720,0.06660,,,,,12.80290,4.92070,5.33470,,-0.6458,6.9833
2023-06-30,10.01100,6.02600,3.98500,2.10000,-0.85000,5.29300,-1.30800,-1.71900,-3.02700,-3.02700,-3.02700,-3.02700,-1.30800,-1.30800,8.29200,8.29200,-0.37000,-0.37000,0.56710,0.36390,1.32230,39.80620,-13.06560,-13.06560,-30.23670,-30.23670,0.06520,4.59650,18.16880,4.95360,-5.11520,-5.11520,-1.97100,-3.25370,,0.4209,-7.2082
2023-03-31,2.82100,3.11100,-0.29000,2.35000,,3.57600,-3.86600,-1.02100,-4.88700,-4.88700,-4.94700,-4.94700,-3.86600,-3.86600,7.76700,7.76700,-0.64000,-0.64000,,0.52860,1.12130,-10.28000,-137.04360,-137.04360,-173.23640,-175.36330,0.01980,,,,,-7.98640,-3.47500,-3.76490,,-0.52270,-0.52270
2022-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
2022-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0,0
