Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,11.54900,5.21000,,-16.75900,2.58200,-14.17700,-0.02900,-14.14800,-14.14800,-14.14800,-16.67700,-16.75900,44.16900,44.16900,-0.32000,-0.32000,19.51950,0.08580,0.09970,-6.14250,-6.14250,-5.30130,-5.61560,5.20920,-0.1042,-0.1023
2024-04-30,9.85500,7.45500,,-17.31000,2.34700,-14.96300,0.02100,-14.98400,-14.98400,-14.98400,-17.23200,-17.31000,39.44400,39.44400,-0.38000,-0.38000,42.80190,0.08550,0.09360,-6.16710,-6.16710,-5.47800,-5.63950,5.50210,-0.2282,-0.2238
2024-01-31,5.63800,5.13500,,-10.77300,0.03200,-10.74100,-0.03000,-10.71100,-10.71100,-10.71100,-10.69300,-10.77300,23.19800,23.19800,-0.46000,-0.46000,12.97280,0.26530,0.36110,-17.16920,-17.16920,-11.46530,-12.61390,2.68920,-0.31770,-0.33950
2023-10-31,5.67100,4.77100,,-10.44200,-72.03800,-96.05400,,-82.49700,-82.49700,-103.96980,-10.39300,-10.44200,0.69260,0.69260,-150.98000,-150.98000,16.25260,0.11280,0.13490,-113.81090,-113.81090,-94.86890,-100.97310,3.12470,-35.1304,-35.5896
2023-09-30,,,-2.57380,-2.57380,1.78830,-0.78540,,-0.78540,-0.78540,-0.15710,-2.57380,-2.57380,3.16300,3.16300,-0.05000,-0.05000,0.00910,,-0.27390,5.14580,5.14580,-0.56530,5.14580,-4.82560,25.0366,25.2934
2023-07-31,3.90100,2.34700,,-6.24800,1.52800,-4.72000,,-4.72000,-4.72000,-5.99300,-6.20500,-6.24800,0.70100,0.70100,-8.55000,-8.55000,,,,,,,,,-25.2369,-25.4937
2023-06-30,,,-4.28370,-4.28370,1.57530,-2.70840,,-2.70840,-2.70840,-0.54170,-4.28370,-4.28370,3.16300,3.16300,-0.17000,-0.17000,0.03870,,-0.21580,23.70660,23.70660,-1.99010,23.70660,-3.61200,14.9657,14.9988
2023-04-30,3.21500,1.52200,,-4.73700,-0.54500,-5.28200,,-5.28200,-5.28200,-6.45700,-4.70000,-4.73700,0.69450,0.69450,-9.30000,-9.30000,,,,,,,,,-15.2677,-15.3008
2023-03-31,,,-1.76680,-1.76680,1.41460,-0.35220,,-0.35220,-0.35220,-0.07040,-1.76680,-1.76680,3.16300,3.16300,-0.02000,-0.02000,0.22230,,-0.07660,5.99370,5.99370,-0.26370,5.99370,-1.85770,9.4665,9.4864
2023-01-31,3.67100,0.96200,,-4.63300,-2.78500,-7.41800,,-7.41800,-7.41800,-8.65200,-4.58700,-4.63300,0.65110,0.65110,-13.29000,-13.29000,4.04290,,,,-4985.21600,-3752.15000,,,-9.55810,-9.57800
2022-12-31,,,-0.49180,,,,,,,,,,3.16250,3.16250,0.05000,0.05000,0.57280,,,,,,,-1.29910,0.00000,
2022-10-31,,0.49180,,-0.49180,1.11170,0.61950,,0.61950,0.61950,0.62010,-0.25380,-0.49180,0.65520,0.65520,-44.25000,-44.25000,0.57280,1.15370,-7.81420,3.26960,-15.07600,0.46920,2.31710,-6.17210,-26.6581,-26.8917
2022-09-30,,,-0.52330,-0.52330,0.59590,0.07270,,0.07270,0.07270,0.01450,-0.52330,-0.52330,3.16300,3.16300,0.00000,0.00000,,,,,,,,,-0.1936,-0.1936
2022-07-31,0.00000,0.52330,,-0.52330,0.59590,0.07260,0.00000,0.07260,-0.25800,0.07270,-0.52330,-0.52330,,,,0.00000,,,,,,,,,0.0931,0.0931
2022-06-30,,,-0.37130,-0.37130,0.11310,-0.25830,,-0.25830,-0.25830,-0.05170,-0.37130,-0.37130,3.16300,3.16300,-0.02000,-0.02000,,,,,,,,,-0.0931,-0.0931
2022-04-30,0.00000,0.37130,,-0.37130,0.11310,-0.25820,0.00000,-0.25820,-0.40400,-0.25830,-0.37130,-0.37130,,,,0.00000,,,,,,,,,0.0505,0.0505
2022-03-31,,,-0.44500,-0.44500,0.04150,-0.40350,,-0.40350,-0.40350,-0.08070,-0.44500,-0.44500,3.16300,3.16300,-0.03000,-0.03000,,,,,,,,,-0.0505,-0.0505
2022-01-31,,0.44500,,-0.44500,0.04150,-0.40350,,-0.40350,-0.40350,-0.40350,-0.44500,-0.44500,,,,0.00000,4.79510,,,17.71520,17.71290,-0.30700,17.71290,,0.00000,
2021-09-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
