Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.15300,3.07300,,-5.22600,0.15600,-5.07000,-0.00100,-5.06900,-5.06900,-5.05400,-4.82700,-5.22600,7.82400,7.82400,-0.65000,-0.65000,0.19180,-0.34980,-0.58150,51.73510,51.73510,-76.14540,69.83060,-1.05230,-0.0738,-0.0743
2024-06-30,2.16700,3.60500,,-5.77200,0.01300,-5.75900,0.00800,-5.76700,-5.76700,-7.43800,-5.37800,-5.77200,5.32800,5.32800,-1.40000,-1.40000,0.12450,-0.21820,-0.43870,49.07250,49.07250,-89.67500,59.78030,-1.81670,-0.6726,-0.6721
2024-03-31,2.74300,4.00900,,-6.75200,-0.46900,-7.22100,0.00400,-7.22500,-7.22500,-7.22500,-6.36200,-6.75200,3.55520,3.55520,-2.00000,-2.00000,0.12950,-0.32470,-0.54090,49.57800,49.57800,-97.56920,65.67590,-4.07900,-1.07760,-1.07900
2023-12-31,3.95800,5.86200,,-9.82000,1.58800,-8.23200,-0.00300,-8.22900,-8.22900,-8.22900,-9.73500,-9.82000,1.68870,1.68870,5.85000,5.85000,0.42050,-0.38190,-0.38420,99.92720,99.92720,-82.13400,138.09370,-2.31840,-0.7466,-0.7331
2023-09-30,3.25100,3.97000,,-7.22100,5.20800,-2.01300,0.01100,-2.02400,-2.02400,-2.02400,-6.67500,-7.22100,1.43100,1.43100,-1.41000,-1.41000,1.07490,2.14440,-4.98810,185.00850,185.00920,-10.88930,-211.71550,-0.30870,-5.8015,-5.6568
2023-06-30,3.17700,3.36000,,-6.53700,-5.96000,-12.49700,0.00400,-12.50100,-12.50100,-12.50100,-5.86400,-6.53700,0.87800,0.87800,-14.24000,-14.24000,0.09720,,-0.12450,104.43990,104.43990,-28.40510,104.43990,-20.81660,-5.8407,-6.187
2023-03-31,2.62200,2.79200,,-5.41400,-1.04400,-6.45800,0.00400,-6.46200,-6.46200,-6.46200,-5.03000,-5.41400,0.86550,0.86550,-7.50000,-7.50000,0.04060,,-0.18560,81.96500,81.96500,-14.96670,81.96500,-13.71110,-3.58980,-3.74810
2022-12-31,5.31200,10.86100,,-15.29650,-10.43390,-25.68540,0.01000,-25.69540,-25.69540,-25.69540,-15.09550,-15.25150,0.85050,0.85050,-25.50000,-25.50000,0.01830,-0.00280,-0.11180,50.94250,50.94250,-989.42640,51.08630,-58.76050,-4.6355,-4.8271
2022-09-30,1.94500,5.04100,,-6.98600,1.63200,-5.35400,0.00100,-5.35500,-5.35500,-5.35500,-6.98600,-6.98600,0.85660,0.85660,-6.30000,-6.30000,0.35760,,-0.04650,54.11650,54.11650,-12.70200,54.11640,-17.20930,-9.625,-9.9367
2022-06-30,,,-0.36160,-0.36160,4.52280,4.16120,,4.16120,4.16120,4.16120,-0.36160,-0.36160,0.57500,0.57500,1.40000,1.40000,2.03300,,,-45.02410,-45.02410,1.80120,-45.02410,-16.07340,-0.4673,-0.4673
2022-03-31,,,-0.52890,-0.52890,1.99110,1.46220,,1.46220,1.46220,1.46220,-0.52890,-0.52890,0.57500,0.57500,0.50000,0.50000,2.66910,,,-11.04090,-11.04090,0.63230,-11.04090,-23.03200,-0.80890,-0.80890
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,2.7623,2.7623
2021-09-30,,,-1.09490,-1.09490,0.27160,-0.82330,,-0.82330,-0.82330,-0.82330,-1.09490,-1.09490,0.57500,0.57500,-11.40000,-11.40000,41.85590,,,4.33870,4.33870,-0.35490,4.33870,-33.00070,-2.5247,-2.5247
2021-06-30,,,-0.08330,-0.08330,,-0.08330,,-0.08330,-0.08330,-0.08330,-0.08330,-0.08330,0.50000,0.50000,-0.20000,-0.20000,,,,,,,,,-0.2376,-0.2376
