Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi
2024-03-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2022-03-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2021-09-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2021-03-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2020-09-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2019-09-30,46.98400,46.98400,46.98400,46.98400,46.98400,-17.50500,-17.50500,53.88700,46.98400,0.00360,0.00360,-9600.00000,-9600.00000,0.35150,-0.23690,-0.67260,100.00000,100.00000,100.00000,100.00000,-37.25740,0.18660,48.83990,1.84280,5.50670,5.56500,-6.95220,6.92030
2019-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
