Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.00660,0.00660,0.00520,1.40550,-1.40900,-0.00360,-1.41260,-1.41260,-1.41260,-1.41260,-1.32650,-1.40900,24.44300,24.44300,-0.06000,-0.06000,8.51100,,100.00000,-21412.87000,-21412.87000,-21467.57000,-21467.57000,0.00150,0.46670,192.85710,-38.32050,-38.41780,-31.52020,-38.32050,0.12150,-0.0392,-0.0396
2024-06-30,0.00790,0.00790,0.00730,1.27830,-1.28250,-0.00550,-1.28800,-1.28800,-1.28800,-1.28800,-1.20130,-1.28250,22.60800,22.60800,-0.06000,-0.06000,5.68610,,100.00000,-16295.55000,-16295.55000,-16365.88000,-16365.88000,0.00200,1.04650,85.99750,-41.89640,-42.07890,-32.22590,-41.89640,0.13190,-0.0496,-0.057
2024-03-31,0.01590,0.01590,0.01080,4.15830,-4.15800,-0.00550,-4.16360,-4.16360,-4.16360,-4.16360,-4.12970,-4.15800,21.07720,21.07720,-0.20000,-0.20000,3.77630,,100.00000,-26105.27000,-26105.27000,-26140.03000,-26140.03000,0.00370,0.83880,107.29030,-137.10430,-137.89130,-96.21080,-137.10430,0.14040,-0.05850,-0.05940
2023-12-31,0.00530,0.00530,0.00750,1.53500,-1.54200,0.15310,-1.38890,-1.38890,-1.38890,-1.38890,-1.48020,-1.54200,12.68510,12.68510,0.00000,0.00000,3.28800,,100.00000,-29039.50000,-29039.51000,-26156.85000,-26156.85000,0.00120,1.07060,84.06780,-46.95300,-47.29410,-31.12540,-46.95300,0.14400,-0.1123,-0.1544
2023-09-30,0.01000,0.01000,0.03870,1.41070,-1.44420,-0.48820,-1.93240,-1.93240,-1.93240,-1.93240,-1.40400,-1.44420,11.90400,11.90400,-0.16000,-0.16000,1.53030,0.42280,100.00000,-14398.71000,-14398.71000,-19266.02000,-19266.02000,0.00170,,,-84.46720,-85.41300,-32.40450,-84.46720,0.17440,-0.0477,-0.0483
2023-06-30,0.00170,0.00170,0.01230,2.53780,-2.55310,-1.46980,-4.02290,-4.02290,-4.02290,-4.02290,-2.54830,-2.55310,10.24200,10.24200,-0.39000,-0.39000,1.62530,0.31470,,,,,,0.00030,,,-138.31430,-139.72340,-59.53770,-138.31430,0.26020,-0.1145,-0.1171
2023-03-31,,,0.08670,1.61170,-1.70310,0.67050,-1.03260,-1.03260,-1.03260,-1.03260,-1.69830,-1.70310,9.54720,9.54720,-0.11000,-0.11000,1.58650,0.09210,,,,,,,,,-30.17480,-30.47170,-12.07510,-30.17490,0.35590,-0.17270,-0.17270
2022-12-31,,,0.03110,2.34390,-2.37900,,-2.37810,-2.37810,-2.37810,-2.37810,-2.37500,-2.37810,3.08770,3.08770,-1.11000,-1.11000,3.02190,,,,,,,,,,-55.28170,-55.76570,-38.05210,-55.28170,0.45210,-1.3508,-1.3508
2022-09-30,,,0.00320,1.14370,-1.15090,,-1.15090,-1.15090,-1.15090,-1.15090,-1.14690,-1.15090,6.61400,6.61400,-0.17000,-0.17000,0.36100,-1.22520,,,,,,,,,325.38530,325.38990,-1.74900,325.38530,-0.21770,-0.191,-0.191
2022-06-30,,,0.00500,0.77790,-0.78700,-0.05500,-0.84200,-0.84200,-0.84200,-0.84200,-0.78300,-0.78700,5.42700,5.42700,-0.16000,-0.16000,0.81120,,,,,,,,,,2584.23900,2584.59900,-1.29150,2584.24300,-0.02010,-0.0629,-0.0629
2022-03-31,,,0.00110,0.22740,-0.23260,-0.05750,-0.29010,-0.29010,-0.29010,-0.29010,-0.22860,-0.23260,4.22350,4.22350,-0.07000,-0.07000,3.52110,,,,,,,,,,-63.04600,-63.04620,-0.44190,-63.04600,0.28310,-0.04410,-0.04410
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-09-30,,,0.00000,,,,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-06-30,,,0.00000,,,,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
