Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2019-06-30,0.20400,0.20100,0.00300,0.18800,,0.18800,-0.18500,-0.00300,-0.18800,,-0.18800,-0.18800,,-0.18800,-0.18500,-0.18500,3.76000,3.76000,-0.05000,-0.05000,0.17060,,,1.47060,-90.68630,-90.68630,-92.15690,-92.15690,0.20520,,1.48910,60.44120,5.21210,5.21210,-18.91350,5.21210,0.0464,0.0464
2018-06-30,,,,0.19200,,,-0.19200,-0.02100,-0.21300,,-0.21300,-0.21300,,-0.21300,-0.19200,-0.19200,4.98220,4.98220,-0.05000,-0.05000,0.29920,,,,,,,,,,,,7.36010,7.36010,-16.37200,7.36010,0.1188,0.2377
2017-06-30,,,,0.46100,,,-0.46100,-0.01500,-0.47600,,-0.47600,-0.47600,,-0.47600,-0.46100,-0.46100,4.98220,4.98220,-0.10000,-0.10000,0.46360,,,,,,,,,,,,-18.74750,-18.74750,-4.35740,-18.74750,0.1825,0.0636
2016-06-30,,,,0.32000,-0.10500,,-0.42500,-0.33700,-0.76200,,-0.76200,-0.76200,,-0.76200,-0.42500,-0.42500,4.98220,4.98220,-0.15000,-0.15000,0.44620,,,,,,,,,,,,24.78850,24.78860,-13.57810,24.78860,-0.4472,-0.4472
2015-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.1345,0.2037
2015-06-30,1.94500,2.17000,-0.22500,0.33000,,0.33000,-0.55500,-0.76000,-1.33000,0.18000,-1.51000,-1.51700,0.00000,-1.51700,-0.55500,-0.55500,5.05660,5.05660,-0.30000,-0.30000,1.22370,,,-11.31110,-28.53470,-28.53470,-68.38050,-77.99490,0.17840,3.33850,2.23560,40.25710,-111.54370,-110.72990,-13.91740,-110.72990,-0.1345,-0.2037
2014-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0,0.0
2014-06-30,0.75500,0.60000,0.15500,0.42000,,0.42000,-0.26500,-1.12000,-1.40000,0.01000,-1.41000,-1.42600,0.00000,-1.42600,-0.26500,-0.26500,4.75340,4.75340,-0.30000,-0.30000,4.96710,,,18.54310,-35.09930,-35.09930,-185.43050,-188.87420,0.02070,0.35290,0.83890,107.28480,-19.53430,-19.50750,-3.90360,-19.53430,0.0,0.0
2013-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,4.3188,8.5238
