Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.45800,9.15800,-1.70000,-1.18100,-3.26000,2.58600,-4.28600,-1.99200,-6.27800,,-6.27800,-6.27800,-6.27800,-4.28600,-4.28600,61.71860,61.71860,-0.10000,-0.10000,0.51920,2.04860,-2.01530,-22.79430,-57.46850,-57.46850,-84.17810,-84.17810,0.25310,2.51110,35.84070,31.74710,31.36800,-21.30810,-33.29090,-0.0881,-0.102
2024-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2024-03-31,16.84000,14.97900,1.86100,1.91100,-3.35700,6.06100,-4.20000,1.38500,-2.81500,0.34000,-3.15500,-3.15500,-3.15500,0.86500,-4.20000,31.55000,31.55000,-0.10000,-0.10000,0.64990,0.83500,6.69760,11.05110,-24.94060,-24.94060,-16.71620,-18.73520,0.23820,7.60610,11.83250,-40.77280,-47.13180,-4.46360,-6.72940,0.10390,0.13230
2023-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.036,0.0664
2023-09-30,10.40700,11.16000,-0.75300,0.92000,-3.22300,6.19700,-6.95000,-2.94700,-9.89700,,-9.89700,-9.89700,-9.89700,-6.95000,-6.95000,52.34500,52.34500,-0.20000,-0.20000,0.59070,1.05680,-23.26380,-7.23550,-66.78200,-66.78200,-95.09950,-95.09950,0.12390,1.29550,69.46960,335.94670,265.26410,-11.77980,-19.08630,0.0269,-0.0035
2023-03-31,11.26400,12.15000,-0.88600,0.98400,-2.92400,5.02400,-5.91000,-3.28200,-9.19200,,-9.19200,-9.19200,-9.19200,0.42400,-5.91000,45.96000,45.96000,-0.20000,-0.20000,0.98840,0.92020,13.80670,-7.86580,-52.46810,-52.46810,-81.60510,-81.60510,0.11380,1.47200,61.13990,-167.61480,-272.11360,-9.28460,-13.38070,-0.06290,-0.06290
2022-09-30,13.09700,10.98800,2.10900,2.75400,-9.30900,16.79200,-14.68300,-3.35800,-18.04100,,-18.04100,-18.04100,-18.04100,-14.68300,-14.68300,47.78250,47.78250,-0.40000,-0.44000,,,,16.10290,-112.10960,-112.10960,-137.74910,-137.74910,,,,,,,,0,0
2022-03-31,19.51500,17.59600,1.91900,1.42300,1.53200,0.09600,1.82300,0.12600,1.94900,-0.11700,2.06600,2.06600,2.06600,1.82300,1.82300,516.50000,516.50000,0.00400,0.00400,2.39160,0.18470,0.45160,9.83350,9.34150,9.34150,9.98720,10.58670,0.04700,0.17500,514.21980,0.79310,0.83030,0.49710,0.64660,0.00000,
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-09-30,25.97900,,25.97900,,,,25.97900,,25.97900,,25.97900,17.34400,17.34400,25.97900,25.97900,43.36000,43.36000,0.40000,0.40000,,,,100.00000,100.00000,100.00000,100.00000,66.76160,,,,,,,,0,0
2021-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-03-31,17.83600,-9.28900,27.12500,0.75600,-0.78000,1.53600,25.58900,-0.28900,25.30000,,25.30000,25.30000,25.30000,25.58900,25.58900,316.25000,361.42900,0.08000,0.07000,,,,152.08010,143.46830,143.46830,141.84790,141.84790,,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
