Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2017-03-31,1.31000,1.31000,1.37640,0.95950,-1.33470,-0.46460,-1.79930,-0.10910,-1.69020,-1.69020,-1.69020,-1.33470,-1.33470,20.74900,20.74900,-0.08000,-0.08000,13.57010,0.16420,0.19640,100.00000,-101.88550,-101.88550,-137.35080,-129.02330,0.04890,0.73950,121.69730,-7.83350,-21.92270,-6.30530,-6.54760,-0.2313,-0.2314
2016-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2016-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2015-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2015-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2014-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2014-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2013-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2013-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2012-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2012-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2011-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2010-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
2009-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
