Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.08710,2.46190,,-2.37690,36.11850,33.74860,-1.26830,35.01690,35.01690,35.01690,-2.41290,-2.37690,51.02670,52.58670,0.63000,0.61000,7.46440,,13.17900,13.17900,9.35300,13.17900,4.75790,-0.0968,-0.097
2024-06-30,1.05080,3.28600,,-4.33810,16.53010,12.19210,-1.23780,13.42990,13.42990,13.42990,-4.32920,-4.33810,54.32020,56.11840,0.25000,0.24000,10.15220,,5.83750,5.83750,3.54330,5.83750,4.12480,-0.1651,-0.1652
2024-03-31,0.84620,0.85100,-54.69310,-56.39130,323.67180,267.28050,85.72520,181.55530,181.55530,181.55530,-56.33820,-56.39130,41.91500,43.39140,4.33000,4.18000,2.38760,,91.65100,91.65100,48.86430,91.65100,3.68040,-0.14810,-0.14810
2023-12-31,,0.22120,,2.10090,9.32160,11.42250,,9.66380,9.66380,9.66380,2.10090,2.10090,7.18750,7.18750,0.27100,0.27100,0.07820,,-163.77400,-163.77400,1737.67500,-163.77400,-0.15740,-0.1514,-0.1484
2023-09-30,0.81470,3.73880,,-4.55460,0.00630,-4.54840,,-4.54840,-4.54840,-4.54840,-4.54820,-4.55460,32.72450,32.72450,-0.12000,-0.12000,0.04510,-0.02240,33.91110,33.91110,-4.01020,33.91110,-1.86600,-0.0741,-0.0745
2023-06-30,1.09910,1.94120,,-3.04140,0.00360,-3.03780,,-3.03780,-3.03780,-3.03780,-3.03500,-3.04140,37.42680,37.42680,-0.08100,-0.08100,0.10540,,26.52360,26.52360,-2.72220,26.52360,-1.59340,-0.0281,-0.0307
2023-03-31,0.60490,0.22860,0.00000,-0.83460,,-0.83460,0.00000,-0.83460,-0.83460,-0.83460,-0.82830,-0.83460,37.35890,37.35890,-0.02000,-0.02000,0.40560,,7.92030,7.92030,-0.27920,7.92030,-1.46600,-0.02150,-0.02150
2022-12-31,,0.25440,-0.05010,-0.30440,2.45560,2.15120,0.50520,1.64600,1.64600,1.64600,-0.30440,-0.30440,7.18750,7.18750,0.04440,0.04440,0.87240,,-17.91050,-17.91040,0.55610,-17.91050,-1.27850,-0.0202,-0.0202
2022-09-30,,0.22150,-0.05000,-0.27150,1.31940,1.04790,0.26660,0.78130,0.78130,0.78130,-0.27150,-0.27150,7.18750,7.18750,0.02000,0.02000,1.20160,,-8.65950,-8.65950,0.26600,-8.65950,-1.25530,-0.0369,-0.0369
2022-06-30,,0.24850,-0.06540,-0.31380,0.38490,0.07110,0.03060,0.04040,0.04040,0.04040,-0.31380,-0.31380,7.18750,7.18750,0.00560,0.00560,1.63980,,-0.45940,-0.45940,0.01380,-0.45940,-1.22450,-0.0134,-0.0134
2022-03-31,,0.40340,-0.05000,-0.45340,0.02760,-0.42580,,-0.42580,-0.42580,-0.42580,-0.45340,-0.45340,7.18750,7.18750,-0.01000,-0.01000,2.20110,,4.87200,4.87200,-0.14550,4.87200,-1.21580,-0.16940,-0.16940
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,,,0.00210,0.00210,,-0.00210,,-0.00210,-0.00210,-0.00210,0.00210,0.00210,6.25000,6.25000,0.00000,0.00000,,,,,,,,0,0
2021-06-30,,,,,,,,,,,,,,,0.00000,0.00000,,,,,,,,0,0
