Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.18150,1.84520,0.33630,1.23950,1.23950,-0.90320,-0.36770,-1.27080,-1.27080,-1.27080,-1.27080,-0.69210,-0.90320,6.65100,6.65100,-0.19000,-0.19000,1.26620,0.50020,2.05580,15.41790,-41.40070,-41.40070,-58.25390,-58.25390,0.22800,2.18610,2.31940,38.80390,-83.35110,-83.35110,-13.28270,-41.65870,0.22020,-0.1719,-0.3557
2024-06-30,1.36300,1.21420,0.14880,0.97520,0.97520,-0.82640,-0.11610,-0.94260,-0.94260,-0.94260,-0.94260,-0.69260,-0.82640,4.26800,4.26800,-0.22000,-0.22000,2.01560,0.04080,0.10270,10.91420,-60.63270,-60.63270,-69.15360,-69.15360,0.20480,4.43180,3.49940,25.71880,-47.53020,-47.53010,-14.16230,-45.59280,0.33000,-0.1955,-0.3184
2024-03-31,1.46700,1.18340,0.28360,1.30870,1.30870,-1.02510,-0.02590,-1.05100,-1.05100,-1.05100,-1.05100,-0.95410,-1.02510,4.10900,4.10900,-0.26000,-0.26000,1.45920,0.05190,0.28050,19.33090,-69.87650,-69.87650,-71.63980,-71.63980,0.54510,10.02350,2.93420,30.67300,-62.02790,-62.02780,-39.04880,-58.80820,0.41110,-0.12260,-0.13470
2023-12-31,1.47850,1.49900,-0.02060,1.42220,1.42230,-1.44280,-0.02630,-1.46910,-1.46910,-1.46910,-1.46910,-1.36650,-1.44280,2.72600,2.72600,-0.41000,-0.41000,2.15410,0.04370,0.15020,-1.39230,-97.58880,-97.58880,-99.36830,-99.36830,0.47310,4.45080,2.32630,38.68870,-66.46150,-66.46140,-47.01020,-63.55660,0.54660,-0.4769,-0.503
2023-09-30,0.90700,0.93460,-0.02760,0.67140,0.67140,-0.69900,-0.00700,-0.70600,-0.70600,-0.70600,-0.70600,-0.64310,-0.69900,3.98400,3.98400,-0.18000,-0.18000,4.71610,0.02940,0.09490,-3.04380,-77.06650,-77.06650,-77.83860,-77.83860,0.20810,2.73980,2.81080,32.01930,-19.60870,-19.60870,-16.20180,-19.03210,0.89850,0.8862,0.8757
2023-06-30,0.34310,0.36150,-0.01840,0.73550,0.73540,-0.75390,-0.21960,-0.97350,-0.97350,-0.97350,-0.97350,-0.65200,-0.75390,1.64300,1.64300,-0.59000,-0.59000,5.53650,0.02710,0.09700,-5.36220,-219.74550,-219.74550,-283.76840,-283.76840,0.06890,2.96670,1.46160,61.57770,-23.20370,-23.20370,-19.54320,-22.57470,1.05870,-1.4853,-1.4915
2023-03-31,0.09730,0.12700,-0.02960,0.57690,0.57680,-0.60650,-0.17060,-0.77710,-0.77710,-0.77710,-0.77710,-0.55070,-0.60650,3.00200,3.00200,-0.26000,-0.26000,,,,-30.45200,-623.06660,-623.06660,-798.32850,-798.32850,,,,,,,,,,-0.21870,-0.21870
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,1.6766,1.7142
2022-09-30,0.18190,0.17280,0.00910,0.57370,0.61100,-0.60190,-0.21440,-0.81630,-0.81630,-0.81630,-0.81630,-0.50750,-0.60190,1.20100,1.20100,-0.68000,-0.68000,,,,5.00190,-330.82610,-330.82610,-448.67860,-448.67860,,,,,,,,,,-0.6581,-0.6581
2022-06-30,0.30560,0.42400,-0.11840,0.55470,0.55480,-0.67320,-0.20710,-0.88030,-0.88030,-0.88030,-0.88030,-0.67320,-0.67320,1.20000,1.20000,-0.73000,-0.73000,,,,-38.75720,-220.30020,-220.30020,-288.07690,-288.07690,,,,,,,,,,-1.0185,-1.0561
