Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.86760,0.71430,2.15340,1.07370,2.66710,3.74080,-1.58750,7.80140,6.21400,6.21400,6.21400,6.21400,-1.56370,-1.58750,24.69640,35.44570,0.25000,0.17000,1.00360,,-0.13880,75.09220,-55.35840,-55.35840,216.69160,216.69160,0.31530,2.55620,35.20920,-48.09350,-48.09350,68.31250,-48.09350,-0.47930,0.0129,0.0129
2024-06-30,6.40100,1.89480,4.50620,0.70280,2.82710,3.52990,0.97630,17.48570,18.46200,18.46200,18.46200,18.46200,1.04710,0.97630,23.22070,30.27220,0.80000,0.58000,0.38330,,-0.09570,70.39820,15.25250,15.25250,288.42220,288.42220,1.20650,1.85550,48.50450,-66.01460,-66.01460,347.99330,-66.01460,-1.17820,-0.063,-0.063
2024-03-31,10.57500,7.94690,2.62810,0.69540,3.33530,4.03070,-1.40250,-30.56190,-31.96450,-31.96450,-31.96450,-31.96450,-1.32040,-1.40250,22.89850,22.89850,-1.40000,-1.40000,0.25790,,-0.08750,24.85220,-13.26270,-13.26270,-302.26410,-302.26410,2.26870,6.16950,14.58780,66.52250,66.52250,-685.75780,66.52250,-2.07480,-0.07400,-0.07400
2023-12-31,4.20660,2.52180,1.68480,0.70140,1.60780,2.30930,-0.62450,23.47770,22.85320,22.85320,22.85320,22.85320,-0.53740,-0.62450,13.67140,20.39070,1.49000,1.09000,0.40440,,-0.16160,40.05070,-14.84520,-14.84520,543.26840,543.26840,0.69100,2.54000,35.43280,-130.68510,-130.68510,375.38640,-130.68510,-0.76660,-0.0508,-0.0508
2023-09-30,2.38440,0.78240,1.60190,0.68880,2.14230,2.83120,-1.22920,-0.43740,-1.66660,-1.66660,-1.66660,-1.66660,-0.80530,-1.22920,22.81210,22.81210,-0.07000,-0.07000,0.01270,,-0.00780,67.18470,-51.55280,-51.55280,-69.89760,-69.89760,0.09430,,,9.20870,9.20870,-6.58900,9.20870,-1.98400,-0.0783,-0.0783
2023-06-30,2.77000,1.09670,1.67330,0.66520,4.09260,4.75780,-3.08450,-0.01880,-3.10330,-3.10330,-3.10330,-3.10330,-2.92850,-3.08450,22.81210,22.81210,-0.14000,-0.14000,0.10320,,,60.40890,-111.35350,-111.35350,-112.03100,-112.03100,0.10990,,,19.06480,19.06480,-12.31380,19.06480,-1.78440,0.0111,0.0111
2023-03-31,2.93860,2.13430,0.80430,0.67410,1.83240,2.50650,-1.70220,-0.01000,-1.71220,-1.71220,-1.71220,-1.71220,-1.49250,-1.70220,22.81210,22.81210,-0.08000,-0.08000,0.70820,,,27.36950,-57.92460,-57.92460,-58.26510,-58.26510,0.11360,,,12.19270,12.19270,-6.61920,12.19270,-1.53940,-0.04340,-0.04340
2022-12-31,,,,,6.72500,,-16.46800,-7.23940,-9.15820,-9.16820,-9.16820,-9.16820,-16.46800,-1.91880,13.38730,13.38730,-0.39000,-0.39000,0.32990,-0.17280,-0.18240,,,,,,,,,109.68880,109.68880,-234.53600,128.64450,-0.62440,-0.1651,-0.1651
2022-09-30,,,,,0.26830,,-0.26830,1.77910,1.51080,1.51080,1.51080,1.51080,-0.26830,-0.26830,9.12230,9.12230,0.17000,0.17000,6.51370,,,,,,,,,,,-13.54750,-13.54750,0.46190,-13.54750,-1.22260,-0.0081,-0.0081
2022-06-30,,,,,0.28840,,-0.28840,2.20300,1.91460,1.91460,1.91460,1.91460,-0.28840,-0.28840,9.12230,9.12230,0.05000,0.05000,8.98530,,,,,,,,,,,-17.06710,-17.06720,0.58750,-17.06710,-1.22980,-0.0224,-0.0224
2022-03-31,,,,,0.34830,,-0.34830,5.60360,5.25540,5.25540,5.25540,5.25540,-0.34830,-0.34830,9.12230,9.12230,0.13000,0.13000,8.14750,,,,,,,,,,,-41.20830,-41.20840,1.61300,-41.20830,-1.39810,-0.02120,-0.02120
2021-12-31,,,,,0.33750,,-0.33750,1.50670,1.16920,1.16920,1.16920,1.16920,-0.33750,-0.33750,8.76220,8.76220,0.14000,0.14000,10.92610,,,,,,,,,,,-6.49250,-6.49250,0.35860,-6.49250,-1.97420,-0.0141,-0.0141
2021-09-30,,,,,0.22670,,-0.22670,10.02590,9.79920,9.79920,9.79920,9.79920,-0.22670,-0.22670,9.12230,9.12230,0.24000,0.24000,34.00850,,,,,,,,,,,-51.09700,-51.09700,3.00340,-51.09700,-2.10240,0.0004,0.0004
2021-06-30,,,,,0.29410,,-0.29410,-4.41900,-4.71310,-4.71310,-4.71310,-4.71310,-0.29410,-0.29410,8.53000,8.53000,-0.12000,-0.12000,30.82880,,,,,,,,,,,-94.26280,-94.26290,-1.44350,-94.26280,0.39940,-0.0333,-0.0333
2021-03-31,,,,,0.16300,,-0.16300,-1.07170,-1.23470,-1.23470,-1.23470,-1.23470,-0.16300,-0.16300,9.08330,9.08330,-0.11000,-0.11000,14.34550,,,,,,,,,,,-24.69430,-24.69400,-0.40660,-24.69430,0.40550,-0.13010,-0.13010
