Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2023-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2022-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2020-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2015-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2014-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2014-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,-0.3221,-0.3151
2013-12-31,44.20000,40.70000,3.50000,1.63000,1.63000,1.87000,-0.13000,1.79000,0.62000,1.17000,1.20000,1.20000,1.89000,1.87000,4.28500,4.28500,0.28000,0.28000,6.17670,0.07670,7.96380,4.23080,4.23080,4.04980,2.71490,0.42200,5.80600,0.91970,97.85970,1.36720,1.36690,1.14580,1.36710,0.999,0.9966
2013-09-30,42.96900,39.50000,3.46900,1.02000,1.02000,2.44900,0.22000,2.66000,0.51000,2.15000,2.15400,2.15400,2.46900,2.44900,4.31370,4.31370,0.48000,0.48000,3.48710,0.13320,8.05230,5.69950,5.69950,6.19050,5.01290,0.35680,1.53700,0.73350,122.69780,2.50700,2.50640,1.78840,2.50640,-1.0519,-1.0542
2013-06-30,59.24200,54.04000,5.20200,1.15000,1.15000,4.05200,-0.06000,3.98000,0.58000,3.40000,3.39400,3.39400,4.07200,4.05200,4.29350,4.29350,0.80000,0.80000,2.55950,0.08640,8.77760,6.83970,6.83970,6.71820,5.72900,0.43120,3.29510,0.74930,120.10740,4.05300,4.05210,2.47050,4.05210,3.0601,3.0602
2013-03-31,54.54400,50.80000,3.74400,1.07000,1.07000,2.67400,-0.09000,2.56000,0.84000,1.72000,1.72100,1.72100,2.68400,2.67400,4.27170,4.27170,0.40000,0.40000,3.00800,0.14970,6.85690,4.90250,4.90250,4.69350,3.15530,0.45470,4.13680,0.83970,107.18690,2.14780,2.14720,1.43480,2.14750,-2.68510,-2.68750
2012-12-31,63.42900,,63.42900,,,63.42900,,63.42900,,63.42900,3.15300,3.15300,63.44900,63.42900,4.26480,4.26480,0.72000,0.72000,3.85870,0.08210,100.00000,100.00000,100.00000,100.00000,4.97090,0.60040,,1.06570,84.45350,4.02730,4.02630,2.98470,4.02630,-0.4104,-0.4105
