Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.20290,0.20290,1.51830,-1.31540,-1.31540,-1.31540,-1.31540,-1.32310,-1.31410,-1.31540,3.21800,3.21800,-0.41000,-0.41000,7.45850,100.00000,-648.21730,-648.21730,-648.21730,-652.04440,0.07950,,,-58.31840,-67.59360,-51.52060,-58.31840,0.65830,-0.2886,-0.2881
2024-06-30,0.09300,0.09300,1.81950,-1.72650,-1.72650,-1.72650,-1.72650,-1.72650,-1.72530,-1.72650,2.96000,2.96000,-0.58000,-0.58000,6.05270,100.00000,-1857.17100,-1857.17100,-1857.17100,-1857.17100,0.03800,,,-82.33020,-96.58460,-70.58950,-82.33010,0.68400,-0.4167,-0.4175
2024-03-31,0.12480,0.12480,1.51170,-1.38690,-1.38690,-1.38690,-1.38690,-1.38690,-1.38580,-1.38690,2.83480,2.83480,-0.50000,-0.50000,7.15510,100.00000,-1110.93600,-1110.93600,-1110.93600,-1110.93600,0.05820,,,-74.47440,-78.70050,-64.66600,-74.47440,0.65690,-0.36780,-0.37200
2023-12-31,0.08090,0.08090,1.42930,-1.34840,-1.34840,-1.34840,-1.34840,-1.34840,-1.34790,-1.34840,2.71560,2.71560,-0.44000,-0.44000,19.29780,100.00000,-1667.65300,-1667.65300,-1667.65300,-1667.65400,0.02630,,,-46.14180,-47.77680,-43.83850,-46.14180,1.03080,-0.3289,-0.3311
2023-09-30,0.06010,0.06010,1.25060,-1.19050,-1.19050,-1.19050,-1.19050,-1.19050,-1.19050,-1.19050,2.75200,2.75200,-0.43000,-0.43000,30.62250,100.00000,-1979.69700,-1979.69700,-1979.69700,-1979.69700,0.01450,,,-29.64580,-29.64580,-28.67940,-29.64580,1.45910,-0.3565,-0.3593
2023-06-30,0.07490,0.07490,1.39600,-1.32110,-1.32110,-1.32110,-1.32110,-1.32110,-1.32110,-1.32110,2.74300,2.74300,-0.48000,-0.48000,28.04690,100.00000,-1763.47900,-1763.47900,-1763.47900,-1763.47900,0.01470,,,-26.92800,-26.92800,-25.96790,-26.92800,1.78250,-0.3838,-0.3838
2023-03-31,0.06110,0.06110,1.13240,-1.07130,-1.07130,-1.07130,-1.07130,-1.07130,-1.07130,-1.07130,2.49280,2.49280,-0.45000,-0.45000,31.88550,100.00000,-1752.27100,-1752.27100,-1752.27100,-1752.27100,0.01020,20.41240,4.40910,-18.39620,-18.39620,-17.81920,-18.39620,2.13130,-0.33290,-0.33290
2022-12-31,0.06300,0.06300,0.29520,-0.23230,-0.23230,-0.23230,-0.23230,-0.23230,-0.23230,-0.23230,2.04980,2.04980,-0.10000,-0.10000,1.70140,100.00000,-368.85290,-368.85290,-368.85290,-368.85290,0.16880,,,-151.03290,-151.03290,-62.26540,-151.03290,0.07150,-0.1023,-0.1023
2022-09-30,0.08140,0.08140,0.16510,-0.08370,-0.08370,-0.08370,-0.08370,-0.08370,-0.08370,-0.08370,2.05000,2.05000,-0.05000,-0.05000,1.20150,100.00000,-102.75010,-102.75010,-102.75010,-102.75010,0.43990,,,-269.44850,-269.44850,-45.19610,-269.44860,0.01510,-0.0458,-0.0458
2022-06-30,0.07270,0.07270,0.31780,-0.24510,-0.24510,-0.24510,-0.24510,-0.24510,-0.24510,-0.24510,2.01200,2.01200,-0.10000,-0.10000,,100.00000,-337.35970,-337.35970,-337.35970,-337.35960,,,,,,,,,-0.1085,-0.1085
2022-03-31,0.12610,0.12610,0.21030,-0.08420,-0.08420,-0.08420,-0.08420,-0.08420,-0.08420,-0.08420,2.00000,2.00000,-0.05000,-0.05000,,100.00000,-66.79410,-66.79410,-66.79410,-66.79410,,,,,,,,,-0.03750,-0.03750
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,-0.01,-0.01
2021-09-30,0.19800,0.19800,0.21850,-0.02050,-0.02050,-0.02050,-0.02050,-0.02050,-0.02050,-0.02050,1.95120,1.95120,0.00000,0.00000,,100.00000,-10.33480,-10.33480,-10.33480,-10.33480,,,,,,,,,0.01,0.01
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
