Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6091.00000,2482.00000,3609.00000,-354.00000,1193.00000,2416.00000,-227.00000,2189.00000,518.00000,1671.00000,1671.00000,1671.00000,3018.00000,2416.00000,607.60000,608.60000,2.75000,2.75000,0.77320,0.64220,1.89420,59.25140,39.66510,39.66510,35.93830,27.43390,0.09010,3.20260,2.99170,30.08370,10.07600,10.07600,2.47300,3.60560,27.32540,4.3744,3.0012
2024-06-30,6007.00000,2456.00000,3551.00000,-336.00000,1151.00000,2400.00000,-216.00000,2184.00000,511.00000,1673.00000,1673.00000,1673.00000,2996.00000,2400.00000,609.40000,610.30000,2.75000,2.74000,1.04920,0.65400,1.93410,59.11440,39.95340,39.95340,36.35760,27.85080,0.08860,3.04340,2.83620,31.73300,10.14620,10.14620,2.46690,3.51070,27.04330,3.1307,1.6529
2024-03-31,6031.00000,2494.00000,3537.00000,-355.00000,1165.00000,2372.00000,-232.00000,2140.00000,499.00000,1641.00000,1641.00000,1641.00000,2966.00000,2372.00000,609.20000,610.20000,2.69000,2.69000,0.92500,0.66570,2.03820,58.64700,39.33010,39.33010,35.48330,27.20940,0.08970,3.23900,2.78950,32.26330,10.47560,10.47560,2.43960,3.50190,25.67660,3.47750,2.17140
2023-12-31,6159.00000,2573.00000,3586.00000,-361.00000,1179.00000,2407.00000,-223.00000,2184.00000,532.00000,1652.00000,1652.00000,1652.00000,2996.00000,2407.00000,609.20000,610.20000,2.71000,2.70000,0.81240,0.67810,2.20310,58.22370,39.08100,39.08100,35.46030,26.82250,0.09170,3.46300,2.97110,30.29230,11.17120,11.17120,2.46080,3.59570,24.25440,3.9185,2.2431
2023-09-30,5941.00000,2571.00000,3370.00000,-378.00000,1193.00000,2177.00000,-228.00000,1949.00000,421.00000,1528.00000,1528.00000,1528.00000,2757.00000,2177.00000,608.70000,609.80000,2.51000,2.51000,0.71890,0.68990,2.34770,56.72450,36.64370,36.64370,32.80590,25.71960,0.08930,3.33900,3.07190,29.29810,10.91120,10.91120,2.29640,3.38380,22.97380,3.4833,1.8857
2023-06-30,5963.00000,2583.00000,3380.00000,-351.00000,1176.00000,2204.00000,-246.00000,1958.00000,389.00000,1569.00000,1569.00000,1569.00000,2781.00000,2204.00000,608.70000,609.50000,2.58000,2.57000,0.71480,0.70520,2.52400,56.68290,36.96130,36.96130,32.83580,26.31230,0.09030,3.48110,3.26560,27.56000,11.89180,11.89180,2.37610,3.50610,21.65080,3.3208,1.9467
2023-03-31,6056.00000,2598.00000,3458.00000,-357.00000,1164.00000,2294.00000,-152.00000,2142.00000,512.00000,1630.00000,1630.00000,1630.00000,2866.00000,2294.00000,610.60000,611.50000,2.67000,2.67000,0.65360,0.71470,2.71270,57.10040,37.87980,37.87980,35.36990,26.91550,0.09180,3.56870,3.09770,29.05380,13.08820,13.08820,2.47090,3.73460,20.42020,3.00900,1.74650
2022-12-31,6180.00000,2660.00000,3520.00000,-301.00000,1108.00000,2412.00000,-241.00000,2171.00000,533.00000,1638.00000,1638.00000,1638.00000,2981.00000,2412.00000,622.70000,624.00000,2.68000,2.66000,0.71590,0.72240,2.73990,56.95790,39.02910,39.02910,35.12950,26.50490,0.09440,3.58970,3.26810,27.53880,13.46710,13.46710,2.50270,3.73880,19.86140,3.6275,2.1544
2022-09-30,6566.00000,2836.00000,3730.00000,-319.00000,1097.00000,2633.00000,-191.00000,2442.00000,547.00000,1895.00000,1895.00000,1895.00000,3196.00000,2633.00000,620.40000,621.50000,3.05000,3.05000,0.77120,0.73000,2.84610,56.80780,40.10050,40.10050,37.19160,28.86080,0.10050,3.57180,3.19980,28.12670,16.13730,16.13730,2.90010,4.35760,19.06980,4.7276,2.8324
2022-06-30,6269.00000,2654.00000,3615.00000,-331.00000,1120.00000,2495.00000,-153.00000,2342.00000,507.00000,1835.00000,1835.00000,1835.00000,3054.00000,2495.00000,625.60000,626.80000,2.93000,2.93000,0.66240,0.70010,2.51830,57.66470,39.79900,39.79900,37.35840,29.27100,0.09730,3.35950,3.05510,29.45920,14.43750,14.43750,2.84760,4.32960,20.33050,3.1191,1.9739
2022-03-31,5860.00000,2376.00000,3484.00000,-337.00000,1107.00000,2377.00000,-260.00000,2117.00000,487.00000,1630.00000,1630.00000,1630.00000,2932.00000,2377.00000,632.20000,633.60000,2.58000,2.57000,0.70960,0.72060,2.70980,59.45390,40.56310,40.56310,36.12630,27.81570,0.09150,3.27270,2.99290,30.07170,13.70090,13.70090,2.54480,3.82840,18.93820,3.52900,2.24120
2021-12-31,5733.00000,2205.00000,3528.00000,-302.00000,1088.00000,2440.00000,-212.00000,2228.00000,517.00000,1711.00000,1711.00000,1711.00000,2996.00000,2440.00000,653.80000,655.40000,2.66000,2.66000,0.61820,0.66060,2.09940,61.53850,42.56060,42.56060,38.86270,29.84480,0.09020,3.55070,3.32930,27.03300,12.08250,12.08250,2.69340,4.10080,22.16670,3.7809,2.1076
