Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,0.20660,0.75580,-0.96240,-0.01200,-0.97440,-0.97440,-0.97440,-0.97440,-0.94970,-0.96240,0.77780,0.77780,-1.25000,-1.25000,0.49140,,80.37580,80.37580,-58.35310,80.37580,-1.40750,-1.35730,-1.47300
2024-04-30,0.18340,0.66660,-0.85010,-0.00150,-0.85150,-0.85150,-0.85150,-0.85150,-0.83740,-0.85010,0.67660,0.67660,-1.12000,-1.12000,0.14110,-0.11590,32.82450,32.82450,-134.82350,32.82450,-3.77060,-2.5227,-2.5315
2024-01-31,1.90880,0.75120,-2.65990,-0.00250,-2.66240,-2.66240,-2.66240,-2.66240,-2.64720,-2.65990,0.70540,0.70540,-3.80000,-3.80000,0.15510,,62.44210,62.44210,-340.18600,62.44210,-6.44180,-2.3705,-2.355
2023-10-31,1.99680,0.90490,-2.90170,-0.00430,-2.90600,-2.90600,-2.90600,-2.90600,-2.88900,-2.90170,0.65640,0.65640,-4.40000,-4.40000,0.21330,,108.33340,108.33330,-295.44960,108.33330,-4.14600,-2.3046,-2.3045
2023-07-31,2.36610,1.15980,-3.52590,-0.00180,-3.52780,-3.52780,-3.52780,-3.52780,-3.51320,-3.52590,0.65630,0.65630,-5.38000,-5.38000,0.88060,,3125.05800,3125.15000,-134.23740,3125.15300,-0.17460,-5.02570,-5.25010
2023-04-30,1.64810,1.65690,-3.30500,-0.00050,-3.30550,-3.30550,-3.30550,-3.30550,-3.29970,-3.30500,0.65010,0.65010,-5.29230,-5.29230,2.03330,,-108.53810,-108.53810,-55.87800,-108.53810,4.71440,-3.5226,-3.5226
2023-01-31,2.88880,2.53470,-5.42350,-0.00210,-5.42560,-5.42560,-5.42560,-5.42560,-5.41820,-5.42350,0.65550,0.65550,-8.30000,-8.30000,3.18520,,-92.59440,-92.59440,-63.81540,-92.59440,9.11030,-2.6923,-2.6923
2022-10-31,1.53300,1.57340,-3.10640,-0.00360,-3.11000,-3.11000,-3.11000,-3.11000,-3.10110,-3.10640,0.64990,0.64990,-4.80000,-4.80000,6.31130,,-35.39140,-35.39140,-29.83240,-35.39140,13.79620,-3.609,-3.609
2022-07-31,1.37600,1.65960,-3.03550,-0.00150,-3.03710,-3.03710,-3.03710,-3.03710,-3.02840,-3.03550,0.65020,0.65020,-4.49780,-4.49780,11.77670,,-27.16090,-27.16090,-24.87270,-27.16090,17.55750,-3.90140,-3.90140
2022-04-30,1.66120,2.21160,-3.87280,0.00340,-3.86940,-3.86940,-3.86940,-3.86940,-3.87280,-3.87280,0.59430,0.59430,-5.99700,-5.99700,12.37290,,-28.98100,-28.98100,-26.65530,-28.98100,20.96440,-3.0867,-3.2658
2022-01-31,0.87370,1.68290,-2.55660,-0.01630,-2.57290,-2.57290,-2.57290,-2.57290,-2.55660,-2.55660,0.62810,0.62810,-4.49780,-4.49780,26.61610,,-21.50840,-21.50840,-20.70030,-21.50840,19.90420,-2.7992,-2.7992
2021-10-31,1.75010,1.83390,-3.58390,-0.01600,-3.59990,-3.59990,-3.59990,-3.59990,-3.58390,-3.58390,0.62340,0.62340,-5.99700,-5.99700,9.82790,0.02650,-27.63770,-27.63770,-24.82560,-27.63770,21.97900,-3.0767,-3.0767
2021-07-31,0.91640,1.38980,-2.30620,-0.01360,-2.31990,-2.31990,-2.31990,-2.31990,-2.30620,-2.30620,0.56420,0.56420,-4.49780,-4.49780,11.41420,0.02220,-15.11880,-15.11880,-13.79420,-15.11880,26.47650,-2.16710,-2.16710
2021-04-30,0.29300,0.92800,-1.22100,-0.04780,-1.25700,-1.25700,-1.25700,-1.25700,-1.22100,-1.22100,0.48460,0.48460,-1.49930,-1.49930,3.23750,0.16660,-62.44810,-62.44580,-43.15750,-62.44580,4.47560,-2.5796,-2.5796
2021-01-31,0.23430,0.88140,-1.11570,-0.00320,-1.11890,-1.11890,-1.11890,-1.11890,-1.11570,-1.11570,0.48200,0.48200,-2.99850,-2.99850,,,,,,,,-1.6725,-1.6725
2020-10-31,0.47490,0.82300,-1.29790,-0.04520,-1.35410,-1.35410,-1.35410,-1.35410,-1.29790,-1.29790,0.48200,0.48200,-2.99850,-2.99850,,,,,,,,-0.919,-0.919
2020-07-31,0.30880,1.00950,-1.31830,0.00160,-1.31680,-1.31680,-1.31680,-1.31680,-1.31830,-1.31830,0.48200,0.48200,-2.99850,-2.99850,,,,,,,,-0.42550,-0.42550
2020-04-30,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2019-04-30,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
